,initial_losses,losses,initial_reduced_losses,reduced_losses
0,170.73038906685082,170.73038906685082,155.209444606228,155.209444606228
1,152.854653557241,152.854653557241,138.95877596112817,138.95877596112817
2,150.10196526299865,150.10196526299865,136.45633205727148,136.45633205727148
3,226.31060747598178,226.31060747598178,205.73691588725615,205.73691588725615
4,157.93614374000524,157.93614374000524,143.57831249091385,143.57831249091385
5,675.0603017857575,675.0603017857575,613.6911834415977,613.6911834415977
