,lineout pixel,Time (ps),Te_electron,Ti_ion-1,lam_general,amp3_general,ud_general,Va_general
0,481,200,0.33420692949573744,0.07310476654037551,525.762525554937,1.3050393389672175,-19.95474442651231,-38.3659158530221
1,501,300,0.36078106874120947,0.06395063364423414,525.8286636744905,1.302926594813539,-19.948209791085866,-37.57730406911075
2,521,400,0.3272045704269029,0.07442131026276733,525.7634436980599,1.1575913137379341,-19.954712821629773,-38.44296028379076
3,541,500,0.38704382040002006,0.06330858669153096,525.8184971587827,1.1349191079293859,-19.948212372996487,-37.64158415059298
4,561,600,0.28028975556138586,0.15312884011756284,525.7039062202213,1.1802845011352248,-19.965713771046527,-40.49816333842295
5,581,700,0.39958916397596983,0.22500174093321124,525.653959898108,1.190941113299726,-19.9531623731288,-40.3382280461405
6,601,800,0.3699869377704216,0.2062250758439836,525.6471876556891,1.2467191819820005,-20.0,-40.49997711046221
7,621,900,0.21581472176719413,0.12522696919030396,525.7007365407072,1.2853270001271617,-20.0,-40.5
8,641,1000,0.20814160193020814,0.12306105817664792,525.6851265123798,1.2602623584855113,-20.0,-40.49997711079575
9,661,1100,0.18581124517377795,0.11084804681098658,525.6467469333803,1.3435633193593646,-20.0,-40.5
10,681,1200,0.15521831105600312,0.911594170554475,525.6371283096013,0.7884740850072617,-20.0,-40.49997711059677
11,701,1300,0.14263618908179007,0.09083366254514388,525.6000293204661,1.3287911490427675,-20.0,-40.5
