,lineout pixel,Radius (\mum),amp3_general,ud_general,Va_general,Te_electron,Ti_ion-1,Z_ion-1
0,233,-849.2533862399999,0.3785052216481724,4.140252929253553,4.617321191855305,0.37457205590540205,0.0815418222091714,4.98972168714751
1,242,-823.33338624,0.4954137092429071,3.2411043692478216,2.2173804969116233,0.5686398025826718,0.09668889223026088,5.315655827563506
2,250,-800.2933862399999,0.3785848333547041,6.3779250977197,7.0223125437128004,0.23965106218961424,0.06220270408932155,4.743815808389431
3,259,-774.37338624,0.5214992635301807,7.47453320690051,3.133133858292691,0.4902220599371088,0.10496424704477678,5.269647964787595
4,268,-748.4533862399999,0.4226897592186736,1.4898737425064823,1.9519165375610648,0.5825432991217543,0.12394544667933072,5.479436782097293
5,276,-725.4133862399999,0.6656709457919494,7.650933072191908,5.231270393220967,0.3589622750082366,0.08937041726457973,4.969825989723512
6,285,-699.49338624,0.6226802624779154,2.5187113848405005,2.9886691169836688,0.5516047143258689,0.1025439298883693,5.34730224319515
7,294,-673.5733862399999,1.0114531743875306,1.8145069530682,8.681078486130637,0.20474627720399247,0.04352334001599958,4.976044602063533
8,302,-650.5333862399999,0.44111638994856384,8.730023271923997,3.052270532706471,0.5103276325029772,0.1078806147445579,5.408384048893982
9,311,-624.61338624,0.4821256910266569,6.579462471747732,2.850731607033584,0.5507340813842803,0.1378077102827875,5.552660280079861
10,320,-598.6933862399999,0.584907792699914,7.859488774433739,5.325677767513557,0.3401301683862373,0.08581014175916664,4.992034442214351
11,329,-572.7733862399999,0.5372826310475942,-2.461402924079156,4.227678311235493,0.6900095164879894,0.11713315026416088,5.539046308250526
12,337,-549.73338624,1.4310116877150754,0.25321480479918534,8.927916189610837,0.24728961293150373,0.045601841513439635,5.167432093915412
13,346,-523.8133862399999,0.19089029258885332,-1.6000613693873191,1.559145953177115,1.0024651574700474,0.019423244966284718,6.068456140489281
14,355,-497.8933862399999,0.2630876689077684,9.87736762065655,9.079597881308228,0.1592740166260118,0.9846583680576066,4.276324749756325
