,initial_losses,losses,initial_reduced_losses,reduced_losses
0,92.0708082720048,92.0708082720048,83.70073479273162,83.70073479273162
1,112.54838416992516,112.54838416992516,102.31671288175014,102.31671288175014
2,137.52815574126754,137.52815574126754,125.02559612842502,125.02559612842502
3,131.75266134300057,131.75266134300057,119.77514667545505,119.77514667545505
4,143.2059212703766,143.2059212703766,130.1872011548878,130.1872011548878
5,130.86045697367896,130.86045697367896,118.96405179425359,118.96405179425359
6,123.79125044139624,123.79125044139624,112.5375004012693,112.5375004012693
7,238.71772721159599,238.71772721159599,217.01611564690543,217.01611564690543
8,215.82751263447298,215.82751263447298,196.2068296677027,196.2068296677027
9,213.6245889342091,213.6245889342091,194.2041717583719,194.2041717583719
10,351.2565416795812,351.2565416795812,319.32412879961925,319.32412879961925
11,5088.749452626855,5088.749452626855,4626.135866024413,4626.135866024413
12,5095.997647037176,5095.997647037176,4632.725133670159,4632.725133670159
13,6220.1714232633085,6220.1714232633085,5654.701293875734,5654.701293875734
