,lineout pixel,Radius (\mum),amp1_general,amp2_general,Te_electron,ne_electron
0,368,-900.9000903509998,0.9169048350046054,0.05472768506254881,0.2693496849154536,0.14304237533584147
1,372,-880.3800903509998,0.177510855393389,0.7140661128370765,0.14773025537917397,0.038954673692584735
2,376,-859.8600903509998,0.11567607264251148,0.8336486400355745,0.14552223142224088,0.04639576743223517
3,380,-839.3400903509998,0.12602682568681783,0.9513204663550435,0.13250364321305041,0.05558637760411997
4,384,-818.8200903509999,0.1711048158012503,0.9288301326738388,0.18646586789473674,0.048569416903488385
5,388,-798.3000903509999,0.914145212698597,0.16971445668447754,0.28891469703887,0.1615722440865842
6,392,-777.7800903509999,0.11202111593526294,1.1297019554666672,0.13987808963750273,0.06207953474138948
7,395,-762.3900903509998,0.1145386007784966,0.8130538478818911,0.1760691144656129,0.05730311451983744
8,399,-741.8700903509998,0.11652638307897248,0.9008978157159259,0.1550765681894996,0.06250410099731249
9,403,-721.3500903509998,0.12082039917648474,0.8242625946974103,0.15581233628109048,0.06493520322554253
