,lineout pixel,Radius (\mum),Te_electron,ne_electron,m_electron,amp1_general,amp2_general,amp3_general,ud_general,Va_general,Ti_ion-1,Z_ion-1
0,349,-515.1732479999998,0.14123303141492938,0.049158977969157004,2.0065685501137467,0.5787208848919428,0.5333995382883056,0.7308414313701315,24.999870519854827,9.360001242668504,0.21011959288889273,5.239402153132186
1,352,-506.53324799999984,0.3508867745423952,0.010000000000713731,2.001965018590539,0.9705691031458479,0.5600845250648891,0.6189806542899915,19.430444356656224,9.288050530585473,0.21556125606071638,6.999999995400433
2,356,-495.013248,0.16313567952261498,0.04547285651256629,2.0078084752251795,0.6260122493735563,0.46403828190972807,0.46168427251409694,24.56808779110145,9.190681891927511,0.23267260456470537,4.420756838322983
3,359,-486.3732479999999,0.1283852841936035,0.06044618528157499,2.001133495694914,0.5911635144270678,0.551587111374439,0.8237947786485047,24.999992833146827,10.48118129515547,0.12243271361242361,5.434512845257064
4,363,-474.8532479999999,0.1340101838868537,0.06330810302839582,2.002224340586492,0.5995383406644987,0.7080993086735675,0.49260412889276806,24.999586824232704,8.93905392471331,0.241901143764482,5.585510244695519
5,366,-466.2132479999998,0.13614944251997035,0.05980494299028306,2.0001422628303245,0.7381249105108613,0.5784881183980265,0.9289767800073985,25.0,10.368983671412824,0.12312412687147921,5.458590522626045
6,370,-454.6932479999998,0.1315111278235112,0.06289066434725157,2.001140463503491,0.8195114264634096,0.6932933039401067,1.0446228372622375,24.999870798427107,10.119506498827894,0.11462753750466087,5.566159840747648
7,373,-446.05324799999994,0.4345911246319626,0.010000000000713731,2.00177492967451,0.6379191765352604,0.8378571906811128,0.7722010140441258,24.99934972787805,10.07184797764192,0.12330079622737844,6.9999999954004295
8,377,-434.53324799999996,0.14446119344871244,0.06619405804827892,2.0028767380188035,0.644721797462913,0.8285195806992841,0.735885108856363,24.913266460078386,8.620946137680576,0.24703668156262826,5.308212085700099
9,380,-425.89324799999986,0.16524103229518372,0.06123432844243865,2.0009647722061548,0.6392250243450623,0.7930015989618913,0.8583793868007911,24.999992833309882,10.067732488000717,0.12625380499209135,4.209188221232175
10,383,-417.25324799999976,0.1629967462689359,0.06040948328175727,2.001449449263957,0.6532519393334707,0.9038238154062123,1.0208739419688508,24.999587656650668,10.20333710394862,0.09119024349619498,4.654172880962369
11,387,-405.7332479999998,0.17299990726208225,0.06122506721958959,2.000139008416523,0.6050957742923401,0.8897686579930394,0.5758552181278137,25.0,8.535856341704484,0.2555122485954007,4.457723809162288
