,lineout pixel,Radius (\mum),Te_electron,ne_electron,m_electron,amp1_general,amp2_general,amp3_general,ud_general,Va_general,Ti_ion-1,Z_ion-1
0,51,-1373.4132479999998,0.12653356879318148,0.05280964204617764,2.0279103763849897,0.6637192557229382,0.5453711147073855,0.5791675446040115,0.24543378921899583,8.692897703606555,0.24050627752529272,1.4230203122241685
1,54,-1364.7732479999997,0.2171611004406011,0.03818847078613756,2.0279354551550752,0.5672453662577316,0.40034975321989497,0.5220252561676729,0.24729702214407687,5.03362043186762,0.5155410764645808,1.6767881368519624
2,58,-1353.2532479999998,0.17736656585757993,0.04079679893832149,2.0293812394818227,0.6279429298558307,0.3498314863615438,0.7692883073998539,0.24651077865059365,7.4916083950241745,0.03163754638627812,3.2999953660210903
3,61,-1344.6132479999999,0.12801168588853779,0.05888233605850346,2.0294118829991628,0.602506002010554,0.522983463295326,0.5230197093465051,0.24378800463208095,6.550763494440448,0.06286237886242031,3.0132678662056653
4,65,-1333.093248,0.12870255341294456,0.06317001236395439,2.029453143869928,0.6115919587501809,0.7080644451760945,0.4616442410167108,0.24923254542681095,9.549094735109742,0.6393792764181263,3.126484744622973
5,68,-1324.4532479999998,0.1327236077263011,0.06106417941948524,2.0304378386902533,0.8095059321157712,0.6013209908426506,0.487566560234956,0.2508837853783758,6.782032149166213,0.37454525143125295,5.1537709591044525
6,72,-1312.9332479999998,0.14190647582760074,0.060102720511235726,2.0279025752551068,0.7455738576453451,0.6414754406250458,0.52910065951039,0.24556060219881365,6.571719627201158,0.4348935070160502,1.4445595027079987
7,75,-1304.293248,0.1408691829811941,0.06302083767266098,2.028060441370505,0.6617201821989179,0.760226670704914,0.3728928665281973,0.2472555826389985,7.844772108961205,0.5568869259679468,1.6294810319189486
8,79,-1292.773248,0.15560460231851003,0.06111756423233389,2.029511287629879,0.5884941887226868,0.8068283150314497,0.5237996743684504,0.2511981817749434,7.340713392548565,0.02996254302364844,3.3045472029521625
9,82,-1284.1332479999999,0.16146245668437775,0.061347893583781836,2.0292957883363245,0.6795506121140431,0.8321809180555392,0.6551117059863532,0.24370353510771692,4.096885353525304,0.10683364629486329,3.279180474181222
10,85,-1275.4932479999998,0.15806752384046685,0.06103896499701869,2.029374264216505,0.7202858579494887,0.9142116184336205,0.5020124019115217,0.24965983430489644,7.475434348771991,0.6887231839949935,3.5548984347187167
11,89,-1263.9732479999998,0.15681361321667708,0.06340372997917025,2.029869652097656,0.6820412737306003,0.866073350031778,0.28388457915081416,0.2499707635509048,7.642162515997692,0.4893206527876426,4.934460217667276
