,lineout pixel,Radius (\mum),lam_general,amp3_general,ud_general,Te_electron,ne_electron,Z_ion-1
0,238,-799.2409043519999,526.4481003019039,0.4008556853753507,-2.4191588875824017,0.01432360098544199,0.07842404351711578,1.1186195202312283
1,246,-776.2009043519998,526.43736295762,0.47459331174214275,-1.5405087980412517,0.010966055245011607,0.07222343854179261,1.039334528601978
2,255,-750.2809043519999,526.4290748269309,0.4535918782317222,-1.7758329888977542,0.010957046766831026,0.07172711220774686,1.0383950036000669
3,264,-724.3609043519999,526.4338632112369,0.4999827857093157,-1.0219217891640113,0.01044577215387015,0.07033795373573429,1.0239054478812757
4,272,-701.3209043519998,526.4428659315736,0.4149635158891505,0.5852516798444576,0.010008286263720169,0.06204813363293278,1.0016984300910763
5,281,-675.4009043519999,526.431077149532,0.5432771263514931,0.4254646194642362,0.010063996871456184,0.06713664353876733,1.007204630581168
