,lineout pixel,Radius (\mum),Te_electron,amp3_general,ud_general,Va_general,Ti_ion-1
0,209,-901.27584,0.04960696227459831,1.014189946455338,-19.251541813105675,3.7990290426923465,0.056390921804505834
1,227,-849.43584,0.07548434299098625,0.43029611194089323,11.002596906582085,1.5661430211067753,0.13445619204820422
2,244,-800.47584,0.07917022044904597,0.44703787277683166,30.889379093518954,1.346742943326177,0.15853318064968183
3,262,-748.63584,0.08518002271106678,0.456068572301343,32.803278243332244,1.6937666294294758,0.15375202809911104
4,279,-699.67584,0.09719623642099243,0.5686191546550281,20.59060945597581,1.4579213881852642,0.14299291426070573
5,296,-650.71584,0.11913064222369407,0.6448355440924088,16.019310958727736,1.5234470348770408,0.15243590715872601
6,314,-598.87584,0.11962630619452522,0.7031775606706779,38.77049904722819,1.563452586908996,0.20150542783943906
7,331,-549.91584,0.13586015384705322,0.995150793035757,39.98808721591001,1.6345113089242957,0.1965862982145238
8,348,-500.95583999999997,0.10700318031259061,0.856026341686715,39.9995600672757,2.2196389892229114,0.2219818534772193
9,366,-449.11583999999993,0.10780732856027,1.026296217059117,39.99999982805466,3.369903876830456,0.14976436029531776
10,383,-400.1558399999999,0.10484194124240198,1.0684818711178214,39.99999986284133,3.220045942872673,0.12410182931972855
11,400,-351.1958400000001,0.09445705417506946,0.9734666368747849,39.999635271713885,2.8918099994284656,0.16168889382482113
12,418,-299.35583999999994,0.010608938261225886,0.3118352571703589,39.99998455606381,-1.3338982183402965,0.9999996753272792
13,435,-250.3958399999999,2.0,0.01,40.0,9.999999998285748,0.01
14,452,-201.4358400000001,0.010000000220700142,0.93037727626222,39.999999094217976,3.9042205797436065,0.018617954909003857
15,470,-149.59583999999995,0.010000000000352642,0.1411944937125534,-19.15835441988886,0.6548306738364573,0.9999999991991138
16,487,-100.63583999999992,1.8591849581921287,0.010171559100994983,33.568092326298945,-9.998633215591687,0.025178885956615382
17,505,-48.79584,1.9992711401239784,0.010186333568903503,35.67072635670574,9.996326680891588,0.07321552580694338
