,initial_losses,losses,initial_reduced_losses,reduced_losses
0,278.4594680938624,278.4594680938624,253.14497099442036,253.14497099442036
1,328.2441897051921,328.2441897051921,298.4038088229019,298.4038088229019
2,229.29723681573097,229.29723681573097,208.4520334688463,208.4520334688463
3,622.9814795897199,622.9814795897199,566.3467996270181,566.3467996270181
4,431.05044940710457,431.05044940710457,391.8640449155496,391.8640449155496
5,566.317246832672,566.317246832672,514.8338607569746,514.8338607569746
6,262.2603804772437,262.2603804772437,238.41852770658517,238.41852770658517
7,324.3716826514372,324.3716826514372,294.8833478649429,294.8833478649429
8,249.39755910726922,249.39755910726922,226.72505373388108,226.72505373388108
9,393.5305084363929,393.5305084363929,357.75500766944805,357.75500766944805
10,189.20338640985852,189.20338640985852,172.00307855441682,172.00307855441682
11,197.9957239040231,197.9957239040231,179.99611264002098,179.99611264002098
