,lineout pixel,Radius (\mum),amp1_general,amp2_general,amp3_general,ud_general,Va_general,Te_electron,ne_electron,m_electron,Ti_ion-1,Z_ion-1
0,242,-816.265724350804,0.8519363984870651,1.0141099801862878,0.9801701511051064,24.64483344844526,1.6693280492365261,0.1627814487273374,0.0749601965512768,2.0268786517178206,0.13328191078111493,4.015711459350262
1,253,-784.585724350804,0.793981427773174,0.9907855870597615,0.9828435511777189,24.67925474770272,0.9281828472497367,0.1734605306099948,0.07920486909845798,2.020470364349849,0.1249691652608167,3.734540085967676
2,263,-755.785724350804,0.6451492499120393,1.1633320645715735,0.9648582462185333,28.744930758982022,0.8082732581937258,0.193870974677023,0.09482753396835289,2.011244505518409,0.14100274275592753,3.1302376377272285
3,274,-724.1057243508039,0.9011721898301988,1.1332422685152197,0.9396591910617806,29.946966199964017,0.40717496051655644,0.20397332563284126,0.09346512370531221,2.0082424748097014,0.13275995114396938,2.7521114620995433
4,284,-695.305724350804,0.7679156917107371,1.1301523802886957,0.921429263390357,29.896340587412986,0.43167790419476404,0.20584145607915919,0.10144362818432189,2.0074290370857195,0.14868677076920844,2.6026404650464547
5,295,-663.6257243508039,0.862023888217119,0.928756557627862,0.93968049566473,29.927443830155063,0.5962980947289864,0.2067891555143666,0.10518092622011532,2.008007475147699,0.1569272233920753,2.697073261282693
6,305,-634.825724350804,0.939855860418278,1.17843109193338,0.9722765116641668,29.996367424037288,0.6263273868117594,0.2050931110825023,0.11173045113291023,2.004984649173536,0.16199471155724884,2.948027960826302
7,315,-606.025724350804,0.8150207623866447,1.2411902260299372,1.0312057573375522,29.36347856778883,0.491845911279448,0.20985683556996076,0.12188817900476215,2.008220360023458,0.15322621735736436,2.86708351347989
8,326,-574.345724350804,0.853001086815736,1.1670035540397892,0.9894131641202507,28.44949632942499,0.519889084159395,0.21775583435371348,0.12448827013171142,2.0059051465513797,0.15403994814206287,2.8905121076917037
9,336,-545.545724350804,0.7904109825149181,1.1764824236708227,1.0757441555465996,29.941494612689034,0.4443286514205873,0.240330587774098,0.1284269062739077,2.007080833546194,0.1437360508381096,2.614447609711685
10,347,-513.8657243508039,0.7273759515256275,1.3001995217018782,1.0608075976142806,29.869773798494087,0.5486538321995376,0.23121684259858813,0.1369829865888199,2.006195468540875,0.15908868634384649,2.8621734480074177
11,357,-485.065724350804,0.8688328262537602,1.1205555192600922,1.0336226785893181,29.910967854761573,0.7241326030240209,0.23689581777519053,0.13881412831434012,2.0054405601276892,0.15460466137695286,2.8906288453710967
