,lineout pixel,Radius (\mum),Te_electron,lam_general,amp3_general,ud_general,Ti_ion-1
0,209,-901.27584,0.41556974980835076,526.3524909003639,1.037638568804187,0.7496968224882075,0.14332357709198745
1,244,-800.47584,0.3033986320385596,526.3275743676298,1.1301718202105362,-5.427957770948845,0.0979572010961486
2,279,-699.67584,0.4273710981990051,526.3459537006587,0.8873211509522475,5.279497363782326,0.11232595698936455
3,314,-598.87584,0.3403586724760943,526.3223367945106,0.7958188004857735,15.505505234998758,0.12305446709059312
4,348,-500.95583999999997,0.8526584561731655,526.200059567695,3.709093159017758,7.929811185578416,0.17840188474673094
5,383,-400.1558399999999,0.7576148187380631,526.2000312573397,2.1821866786957425,39.98207508260209,0.17618776048681392
6,418,-299.35583999999994,0.9552736298821982,526.246842910086,3.743436026439872,9.507546043595045,0.20834161763870612
7,452,-201.4358400000001,0.48411446414807263,526.3306982796171,3.7458019987112774,8.672250861554549,0.11806236862779551
8,487,-100.63583999999992,0.5390978027863249,526.3254149520606,3.6250993129974387,8.827614646731917,0.13202010654098495
9,522,0.16416000000003805,0.4981080766758095,526.3354893133052,3.711768604542311,8.73168059065097,0.12148366483423112
10,557,100.96415999999999,0.602740187565548,526.3000605178105,1.750807287564064,8.073731970329455,0.13910533895388405
11,591,198.88416000000007,0.07297143999077872,526.4363367297232,0.6992675733014238,39.990474955907295,0.020852551727811995
12,626,299.68416,0.23108923722119326,526.244656287895,2.2294141776484406,39.841362464749025,0.07172510293001297
13,661,400.48416,0.5464946029695874,526.2796683349427,0.7304040913822347,6.06003618368069,0.08291606765959923
14,696,501.28415999999993,0.6147991506341538,526.2,0.9082180128891968,39.95713951043551,0.5883205029689907
15,730,599.2041599999998,0.9058970549776011,526.2000000256224,0.9181242478874488,39.99312962230802,0.3157921344510861
