,lineout pixel,Time (ps),amp1_general,amp2_general
0,465,150,0.5047791134950744,0.5333079803231023
1,505,350,0.6514071291259185,0.6293167225747971
2,545,550,0.6551858639932959,0.3337394392936689
3,585,750,0.29401017419366315,0.1966351220466415
4,625,950,0.36524909214241924,0.2405602893261177
5,665,1150,0.43366355014278746,0.27602578439368936
6,705,1350,0.1701939835653797,0.1365359239437291
7,745,1550,0.07588747921815947,0.4149428824743088
8,785,1750,0.07564678674399834,0.12705747877179738
9,825,1950,0.07001021802964805,0.29776941851615757
