,lineout pixel,Radius (\mum),Te_electron,amp3_general,ud_general,Va_general,Ti_ion-1
0,209,-901.27584,0.2649250812220153,1.865559174785583,14.733070186047314,-9.858769807233532,0.08127113860605226
1,244,-800.47584,0.4358209373796144,3.2538984194235088,35.82416021079966,-13.125534395401864,0.1912831861005439
2,279,-699.67584,1.8870862134541198,3.74486513580582,-9.606019299555872,24.440605656682052,0.6696031712130746
3,314,-598.87584,0.11925418956499663,0.7006621552803375,40.0,1.567256686363102,0.203547142499719
4,348,-500.95583999999997,0.10604449055973955,0.8382240403203752,39.85393679721578,2.203192624594479,0.22531940429683806
5,383,-400.1558399999999,0.347174960830463,0.010000000122554989,15.400964194694318,19.78505223802481,0.011994339444586569
6,418,-299.35583999999994,1.9935305541553818,1.5265669367595174,-19.98936388866808,25.66337710859655,0.9948322437684417
7,452,-201.4358400000001,0.010000011351639517,0.9429134879195548,-19.63289915946205,-0.9042735339651315,0.010000000055039857
8,487,-100.63583999999992,1.565519803031581,1.1106621193416784,2.81443034368748,24.363518632977403,0.6335694387034456
9,522,0.16416000000003805,1.9512061909270457,1.2403259995485707,7.6664214434235305,26.02438741682215,0.7287450098278766
10,557,100.96415999999999,1.8053911709332393,1.0646609979322523,3.1682598964961173,25.68620970929483,0.7156709056994464
11,591,198.88416000000007,1.8346739241715282,0.9146315075483626,24.650792571568715,26.677654917638804,0.8095508054249684
12,626,299.68416,0.6219494578430709,1.9785509210738916,10.56427522651365,15.296863700276596,0.035912112290482946
13,661,400.48416,0.6846640165444803,0.8666703295571899,7.912388497107418,15.626984927364084,0.025007165714860946
14,696,501.28415999999993,1.0131374914424631,1.0034741597431869,8.970163084172185,17.699037221491395,0.02940747171573159
15,730,599.2041599999998,0.8139746045579096,2.3334025602931647,-18.623256462546404,-14.510283451712926,0.023685003730260952
