,initial_losses,losses,initial_reduced_losses,reduced_losses
0,70.25577884324001,70.25577884324001,63.86888985749091,63.86888985749091
1,111.47053025034538,111.47053025034538,101.33684568213215,101.33684568213215
2,114.60450828751546,114.60450828751546,104.18591662501404,104.18591662501404
3,186.54564274152622,186.54564274152622,169.586947946842,169.586947946842
4,272.1606920281782,272.1606920281782,247.4188109347074,247.4188109347074
5,156.1063830215963,156.1063830215963,141.91489365599662,141.91489365599662
6,302.81474293031164,302.81474293031164,275.28612993664694,275.28612993664694
7,245.03508889988262,245.03508889988262,222.759171727166,222.759171727166
8,421.5488423380109,421.5488423380109,383.22622030728263,383.22622030728263
9,697.8716642026405,697.8716642026405,634.4287856387641,634.4287856387641
