,lineout pixel,Radius (\mum),Te_electron,ne_electron,amp1_general,amp2_general,amp3_general,ud_general,Va_general,Ti_ion-1,Z_ion-1
0,243,-820.4532479999998,0.14201563634615372,0.06393562865961167,0.6740550821787049,0.8067906333885241,0.8517789048396924,0.24914533491940982,8.472677931015637,0.1164420635174027,3.649634722735611
1,253,-791.6532479999998,0.16547218800727195,0.06005055220541571,0.6464110170410975,0.8745464610970451,0.8396404506938048,0.2495872073950147,8.639365234820982,0.09629897232626616,3.2145573219943597
2,264,-759.9732479999999,0.16295632837016433,0.06800311593456006,0.6488829844356271,0.9694938067076639,0.8581376596658553,0.25085249104937923,8.711878782148304,0.11206528154246105,3.4376859039284637
3,274,-731.1732479999998,0.16149480415860518,0.07473436209193311,0.7390972272154711,0.9812861741594161,1.0161845729173713,0.2537646806645749,8.667669499148259,0.1154677359169703,3.8262732284786747
4,284,-702.3732479999999,0.1547893668980232,0.08323956459734431,0.7054912948523961,0.7504701923857121,0.855762959045299,0.24253560873498778,8.590638667215519,0.1324887475698242,3.840184177550298
5,295,-670.6932479999998,0.1813728435743278,0.08799353347298006,0.7306093455816408,0.790279832568962,1.022103270909119,0.2423884908510547,8.741756463412724,0.141809348422408,3.6855147747561734
6,305,-641.8932479999999,0.18906113144454428,0.09641167816707054,0.7333493444021792,0.7965746852309538,0.8706459772853218,0.23200876426033454,8.83506529744948,0.14125988682006302,3.6797004089111294
7,316,-610.2132479999999,0.20755259913436153,0.099857400314976,0.7311571448172989,0.7031625754688716,0.8892918832521789,0.274313962589297,8.699800816394724,0.16459992036448087,3.4917757941861884
8,326,-581.4132479999998,0.20439931199122374,0.10812854139093962,0.7356361945911905,0.7901436746796651,0.8074240406064194,0.21564721785322866,8.66556944881198,0.15280151731420077,3.6872568625841287
9,337,-549.7332479999999,0.23501091485514297,0.11311644011161207,0.6528481176851227,0.7986057960860992,0.8071348310118667,0.24977323526107348,8.991053896943514,0.20376130842745188,3.2196571688292313
10,347,-520.9332479999998,0.2280610503678998,0.12304574649349573,0.6963615913886838,0.7253840537689482,0.612659847170702,0.27196191282492627,9.103907507890154,0.196208252252466,2.9172057127094644
11,357,-492.13324799999987,1.999596366179378,0.9629588434957418,1.791949488403317,3.6028630771780894,0.9386734100640213,0.2923115466764247,14.987081143891299,0.02226153522980657,1.3125136706621066
12,368,-460.4532479999998,0.2676674516211606,0.14307274391841077,0.6404007978315357,0.6852755760236783,1.059267924848092,24.482662173480986,10.185816076266386,0.10073430890753485,2.7470886425661964
13,378,-431.65324799999985,0.27809040670152124,0.1520741566741025,0.6660765174066984,0.8524571976425194,0.591247029924203,0.21930022663812676,8.449949287742017,0.25493024911763473,2.5316252718110697
14,389,-399.9732479999998,0.27673959614976035,0.16429769416586393,0.6280330617630869,0.8356514823728374,0.46652528567084545,0.09946544744257782,7.99829813690162,0.29797372202029043,2.1682137776114274
15,399,-371.17324799999983,0.27377943617120143,0.16987856714901145,0.7034092925850406,1.0722626292865378,0.3428382921562456,0.056014882219469146,3.8939024162780593,0.9800911133047223,1.0000095750754334
16,409,-342.3732479999999,0.28695756155536395,0.1749187414352621,0.6398179951853674,1.0485472085330343,0.4174422223197168,0.0981721603174977,6.054679684285967,0.47570506809836144,1.216876898164601
17,420,-310.6932479999998,1.9995917023516296,0.9988471016924246,2.1194076518343024,3.5091492949340455,1.1078106411934496,0.3729191096522306,14.987373328806514,0.018674793523087596,1.3863169239050377
18,430,-281.89324799999986,0.2847357596420269,0.185754884923951,0.7273195784144527,0.9159376049899401,0.6070200366989602,2.7860058131924252,1.4905766882387148,0.933925187867138,1.4937432570523899
19,441,-250.2132479999998,0.291783859104233,0.18556452843370969,0.5499197529129266,1.0630811294740037,0.5657031463341416,0.03712266952208708,5.400372904965996,0.5154276333178432,1.948345830885156
20,451,-221.41324799999984,0.29884379082173285,0.18615293830602897,0.6826045346712215,0.9137263089480486,0.5590599534177169,0.03446780250166951,1.142724939025467,0.8424561425454834,1.1012461550611004
21,462,-189.73324799999978,0.31247868305370236,0.18089404906722098,0.6388931457667849,1.0603671684983498,0.4544465836857506,0.02966445207342299,9.382909121062985e-05,0.9852308070126524,1.0000095755682965
22,472,-160.93324799999982,0.30005522063716455,0.18720694414204772,0.6838770064688726,1.027904037335779,0.573321791257286,0.044147913529280346,0.06459452374059145,0.987747801643461,1.474067618799214
23,482,-132.13324799999987,1.9995936869814868,0.9988161749237275,1.6733857794579585,3.547375189291907,0.011533148588893814,0.3836484364625045,14.98733778353186,0.020064462631768205,1.628121537383425
24,493,-100.4532479999998,0.29889428301018905,0.19060712618412162,0.5544496350322182,0.9757840548555478,0.6022518610879334,0.06373214653869555,0.14502219538153294,0.9637553856882513,2.964314284983839
25,503,-71.65324799999985,0.30296396028186573,0.19025817177011287,0.6810163561825238,1.0252402371939329,0.6434917808398182,0.02774472400142543,0.03005826685124121,0.9876152926310874,4.353285372209079
26,514,-39.973247999999785,0.3021578848219505,0.18965495939223515,0.6129115887011242,0.9255163588872745,0.6238919484333524,0.03058167837599675,1.641817906458278,0.9624746010670487,1.1514359878033824
27,524,-11.17324799999983,0.3122932601025057,0.18661729627943685,0.6206182490288286,0.829572673778042,0.6230449020652042,0.027454369097007946,9.384451183954029e-05,0.9884533674389252,1.0000095760859025
28,534,17.626752000000124,0.3065423824537058,0.18660856828840736,0.6234405140740458,0.9358924738888159,0.5093533384740496,0.038366633856320526,0.06657337151307341,0.989805262769161,4.896597652101962
29,545,49.30675200000019,1.9995878333415287,0.99892864453659,1.5615535065895083,1.8572472285342243,0.011597753496299839,0.3856328252402499,14.987342594730075,0.020059486895078325,1.630996923579465
30,555,78.10675200000014,0.305723845500056,0.19152386475997465,0.5205432749444343,0.9632510662962959,0.6469376435404545,0.058160938001068946,0.12413403910804562,0.9655805107920103,4.668093255263276
31,566,109.7867520000002,0.30786599577473456,0.1868541272943349,0.6092771082796515,0.7472939394838624,0.6573671358290857,0.027015558360654206,0.029042184613314884,0.9875801078704999,4.563673241031972
32,576,138.58675200000016,0.30043581944227765,0.1896845728541839,0.5974884217459433,0.9304971263418401,0.6484085936783638,0.02951672642296958,1.758908712600792,0.9661289361174885,1.1687559226567368
33,587,170.266752,0.3104989752628057,0.1835347764240833,0.6160762044174652,0.8766982312615494,0.4865410399384527,0.02652525928262469,9.384553156103752e-05,0.9889966971346341,1.000009576231171
34,597,199.06675200000018,0.29287413945386265,0.1912414086915751,0.5414867787438501,1.0019817026491185,0.4308604942264696,0.03560218749737153,0.055848139190961765,0.9895249615976891,4.077662164085269
35,607,227.86675200000013,1.999589361660895,0.9989089080459851,1.6534620581766697,3.1799285939355446,0.011626746639416007,0.3871384571848222,14.987346224326133,0.02005707156876211,1.6236574353419824
36,618,259.5467520000002,0.30532524467750743,0.1839145868252014,0.6714668923449172,0.809635165292021,0.48757077033695695,0.05732718193831381,0.1177987677905981,0.964725921586022,4.472463536716557
37,628,288.34675200000015,0.30193521669042245,0.18382168895433806,0.6339083227147546,0.9417970544038874,0.4818547019044506,0.026792954486016516,0.028654905618985132,0.9874450514060116,4.517692614455325
38,639,320.026752,0.3019430563293999,0.18344425107144727,0.7357313907723941,0.8097690877554824,0.5049235651479992,0.02935235925593815,1.687801104608907,0.9664050500700533,1.1722508785401748
39,649,348.82675200000017,0.2813357341983355,0.18898888157559526,0.6661312257169892,1.0146567994149402,0.4673864455004597,0.0263514253174969,9.384433396152897e-05,0.9890400164751326,1.0000095762462993
40,659,377.6267520000001,0.27722643818673187,0.19200416192449238,0.6121945202704665,0.9335456043916577,0.44553236956725434,0.03507016545434233,0.05449277138671199,0.9895133521807733,4.0935574740868965
41,670,409.3067520000002,1.999589335628995,0.9989100797678432,1.8756520830613752,3.0897620171363,0.011628041963692437,0.3874019748179892,14.987346672087991,0.02005696350133971,1.6243445681568591
42,680,438.10675200000014,0.30743764661408646,0.18199270595315228,0.6724796218309094,0.8282413486464398,0.5877722966887344,0.04493846981367687,0.06938786960663887,0.9645848106774823,3.1061976961453865
43,691,469.7867520000002,0.28058352552264487,0.18709259565517955,0.48252301315462365,0.9390259290749924,0.33213018418043094,0.023402714225354414,0.024080410335313517,0.9877220165878579,1.328601182886635
44,701,498.58675200000016,0.3237580649745465,0.1705784243361957,0.5791038099720653,0.8838397816744316,0.26221237140805026,0.0264279665211299,0.0013338539075484245,0.6325045400098995,1.000030947720582
