,lineout pixel,Radius (\mum),lam_general,amp3_general,ud_general,Te_electron,Z_ion-1
0,238,-799.2409043519999,526.4470851658904,0.3761041288373792,-1.9281834612082278,0.01291382369136132,1.0833218477890778
1,246,-776.2009043519998,526.4369040183349,0.43686666865259666,-1.1703518623390643,0.011293003557838938,1.0452818770191266
2,255,-750.2809043519999,526.425989345064,0.42446068565274686,-1.4754866287435142,0.011095327193569,1.039030693901014
3,264,-724.3609043519999,526.4318956032228,0.47058723020885695,-0.6967722755652659,0.010504729251986016,1.024355200843688
4,272,-701.3209043519998,526.4421734479079,0.37593600235312763,0.9200379449326377,0.010040324617602016,1.004915267380587
5,281,-675.4009043519999,526.4288774402776,0.5012009489077793,0.30922553487527793,0.01023411924724953,1.0171941876697448
