,lineout pixel,Time (ps),Te_species1,ne_species1,m_species1,amp1_general,amp2_general,lam_general
0,280,1405,0.9199598269985536,0.25089178871041007,2.031192205716176,0.01,1.0243738273151324,526.6766870863796
1,285,1430,1.156014152633567,0.20109123898428136,2.2698001750616745,0.01,0.6694180132249413,526.7028415699709
2,290,1455,0.791741474289903,0.12991595277216603,2.0,0.01,0.684256144618199,526.4436396507651
3,295,1480,0.5138664137519019,0.07565706833910418,2.0,0.26442723000848073,0.4840070568285678,526.619490498133
4,300,1505,0.18155990919038714,0.12971602579836006,2.0,0.7795657913161902,0.5730075949761214,524.3477851808923
5,305,1530,0.2233864697045743,0.14904850023186758,2.0,0.8120013938022105,0.6985546233130481,524.0541006805284
6,310,1555,0.25876976165597154,0.16460509322188036,2.1173490338885093,0.7922175624089522,0.5845560499154125,523.7407630818199
7,315,1580,0.296845639856906,0.1885057016760447,2.0361539071964287,0.8033902631480082,0.48825592827883596,524.0491548587327
8,320,1605,0.371848539871356,0.18950455486243656,2.475735657030773,0.7940782231962641,0.5689190368257269,523.8327204586775
9,325,1630,0.40544722127052185,0.19644906301947657,2.637489241726856,0.7878341548182235,0.514403083302549,523.6763377942108
10,330,1655,0.42262048631591426,0.21083010647566444,2.4566473682879937,0.7462985670228577,0.4661084911219102,523.7396256532962
11,335,1680,0.45427918219634145,0.21806975818799457,2.5765180480323724,0.7800037480570233,0.44648097070871595,524.08857320708
12,340,1705,0.5093111975130841,0.21711291262763416,3.2450189681166712,0.776778032719416,0.5224644479582622,523.817741939135
13,345,1730,0.501206484789156,0.22368634339107307,3.1249000277764494,0.7749896167788454,0.5133180632177101,524.1518333999688
14,350,1755,0.5041073412704611,0.22683009980555177,2.811652605262707,0.7548439868031714,0.49777946773102477,523.7416643643276
15,355,1780,0.5608722226441547,0.22271149840613058,3.1101002546492795,0.721042825257938,0.44641485193138825,523.9712207292364
16,360,1805,0.5726663729320417,0.23070822466327826,3.0766165138497694,0.7169850140238387,0.42848951277648195,523.9515172723177
17,365,1830,0.5765759434383607,0.2361559934755133,2.932622699468725,0.7021272383323578,0.4515440951128212,523.9355321104354
18,370,1855,0.571823028541282,0.24120447533584424,3.1565274204493527,0.7198625500388386,0.5062048373028397,523.8922702309774
19,375,1880,0.5760943881593467,0.2455380264618093,3.3487303572679035,0.7270215896062063,0.5824989735963553,523.8574560274785
20,380,1905,0.6127494174888227,0.2392930406636771,3.3011059568015915,0.6939665260384632,0.5365919206297786,523.7799525633326
21,385,1930,0.5988971474011058,0.2492891150537983,3.034933163334844,0.6748486082522838,0.4069854582416162,523.7388108200323
22,390,1955,0.594541079527182,0.2516481218278536,2.8005490735820864,0.6871505349552939,0.43233825725859365,523.7131705800924
23,395,1980,0.6166867484194765,0.2586006790220181,2.911964538777111,0.7063903901353713,0.4338396772295746,523.8787829970898
24,400,2005,0.6252995153412256,0.2573019727316184,3.195895846228746,0.7383720599885659,0.4284928868944865,523.7661732327546
25,405,2030,0.6314519650097781,0.2515115268403004,2.990883651989254,0.7052310731797283,0.43229113828773796,523.5681233268884
26,410,2055,0.6495937625603018,0.2553786669603135,3.288620617753841,0.7132021956314198,0.40470343760031574,523.8208253837777
27,415,2080,0.6193398806038629,0.26256507795785694,2.9709991123446837,0.7127691623112881,0.38471557889413593,523.9170262479172
28,420,2105,0.6425566288662717,0.25597221806417136,3.111020716066038,0.6826560758302506,0.3909572924655118,524.156387338519
29,425,2130,0.709692901783558,0.2465670212837651,2.8400300523158752,0.6525170410495484,0.4323689027872926,524.4071283060183
30,430,2155,0.6678291028093218,0.2520708898698554,3.182773004612746,0.6983306812984528,0.43202527412425845,524.0598596120008
31,435,2180,0.6545850994021191,0.2596192301980428,3.1650241415507314,0.7080411631870027,0.3678256763943214,524.1365825764966
32,440,2205,0.6618408952670284,0.25490106480667013,3.1079971397847106,0.7209083091390254,0.44143054924937686,523.9531741402955
33,445,2230,0.6647615947302536,0.2552062183933839,3.1785645112919942,0.7101766948623537,0.4628091121257221,524.0140985963652
34,450,2255,0.6841577536658289,0.24732017934170603,3.0205714034448996,0.6599906768993387,0.47277268923147514,523.7918657661636
35,455,2280,0.6931143690450977,0.2503412117306405,3.1015378687927346,0.6913563084034136,0.458807149627861,523.6203658427416
36,460,2305,0.6804449340326374,0.2519400579523363,3.134577316471247,0.6915405166917229,0.3634808770928646,523.6876997010719
37,465,2330,0.6485834258313603,0.2616596937358165,2.900364434687274,0.6587761581450107,0.321861276207992,523.9182103418558
38,470,2355,0.6806811508291724,0.2538664094505917,2.6257591988114504,0.693374560426749,0.4179875053237773,523.7941604170938
39,475,2380,0.6553679399716408,0.2564169294158373,3.131207651097189,0.6958198593095073,0.46635769704516805,523.8409431524502
40,480,2405,0.6598581338426525,0.24843148071918525,3.064914445859621,0.6855190179212862,0.3569117543743097,523.7914726757799
41,485,2430,0.6402103791359872,0.2551077115875983,2.8069364052234116,0.7183150458949052,0.4156893852117554,523.9092563721609
42,490,2455,0.6838929023812104,0.23748239808343224,2.96713341535651,0.6855829545247608,0.42770644962938364,523.7726107277525
43,495,2480,0.6957369304566099,0.2375516513030118,2.854703383800629,0.6399696526876927,0.4534013367563213,523.9555378270315
44,500,2505,0.6882252115897121,0.24119385383770148,2.896668126196661,0.6701729101012053,0.43881979801989507,524.1449313744196
45,505,2530,1.25,0.75,3.453606308879656,2.9362759339682563,2.315112058813777,524.7868504734656
46,510,2555,0.6678046722442793,0.238787505662682,3.0742954411914405,0.6613951566257587,0.40339945282296086,523.9620755210572
47,515,2580,1.25,0.75,3.3486613511843553,2.9415325257535163,2.555270645728598,525.3111937963165
48,520,2605,0.611746276607218,0.23057602101635183,2.912398889141935,0.6863561814324955,0.39846032350435445,524.1132743047501
49,525,2630,0.5545283206274007,0.2329879164356688,2.765163514055109,0.697429327734475,0.4232471033419471,523.9036053087849
50,530,2655,0.529690840886734,0.22908603184533166,2.4867413405378715,0.7513644194851281,0.48197652202269287,524.102527285536
51,535,2680,0.4844378651837071,0.22505575143205034,2.506225809801375,0.7038084344688473,0.4590181899188668,523.9809187077176
52,540,2705,0.4226994995805518,0.22947320573367755,2.2655174486335192,0.713775306938994,0.40103420217136937,523.9005962001171
53,545,2730,0.41402868502442886,0.2222279702483469,2.224413335658125,0.7171434392530537,0.4050494181708613,523.4947869911499
54,550,2755,0.40874054668386245,0.2194531499080153,2.3062780851089775,0.7243311294517535,0.42570096181764583,523.7338865821855
55,555,2780,0.3780828899991951,0.22111986370514433,2.3248655248235024,0.7332667541289069,0.40137225248258146,523.7599094554789
56,560,2805,0.3964844826153754,0.20940641338044294,2.624783440239897,0.7160399653193977,0.4018036592356698,523.9069223827069
57,565,2830,0.3863710380134429,0.20716442792399656,2.6161664437122245,0.7306856854005963,0.4280700952179813,524.0059206294371
58,570,2855,0.3412440294517483,0.21423695971399204,2.0,0.7418405098308318,0.45515313734761664,523.7866707358986
59,575,2880,0.34274506579813974,0.20661247114014772,2.0,0.7313920634158931,0.45253500983021533,523.7665894459657
60,580,2905,0.3454993811678576,0.19800793990810664,2.1863262421899257,0.7160202607362609,0.5051037356508542,523.7762978547635
61,585,2930,0.33236964853345446,0.19675366596891222,2.0,0.7311340255467917,0.46175407059785556,523.807157659553
62,590,2955,0.31038222485092887,0.19731081035240147,2.0,0.7310046333052596,0.4388816890757554,523.8351459114912
63,595,2980,0.32076702389828665,0.18853041824234174,2.2546889378042603,0.7340036262945994,0.4320499921571064,523.8610538147013
64,600,3005,0.3164896819734912,0.18397907082604478,2.2352541968202204,0.7302818382850256,0.4604478610277769,523.7479630747832
65,605,3030,0.28254781474230806,0.18803294410355828,2.0,0.7013231158986213,0.42350787658051886,523.7710789974407
66,610,3055,0.2803915347864847,0.18537878342974348,2.092033853184382,0.7241890492304298,0.4349338265429321,523.668618158619
67,615,3080,0.27820305875786555,0.18257379149385353,2.03387093179569,0.7069151840131107,0.432230073991695,523.7992663088846
68,620,3105,0.27959656909697767,0.17518750079884007,2.236277849879741,0.7300145696752448,0.4745109426164323,523.5650636411488
69,625,3130,0.27696462484511114,0.17283834510769627,2.1915045005974014,0.6976053481168173,0.5075125029557737,523.7204675223201
70,630,3155,0.2761086505388962,0.16783786757834507,2.0994966699926874,0.6711045496127527,0.48605600501728846,523.6627368586029
71,635,3180,0.27722754419973317,0.16307322610287744,2.1036742201289096,0.6859469371672017,0.5029686308221412,523.7596282450617
72,640,3205,0.24657138604104542,0.16854643897024893,2.190188667561251,0.7227828046686673,0.4433271849656793,523.6416987308171
73,645,3230,0.23701534907078306,0.16678526642973354,2.0282100513371932,0.7419403817346296,0.422676993929703,523.7963399515052
74,650,3255,0.23808860064694068,0.16248647015014206,2.086485048318594,0.7240541825514195,0.40743588957793275,523.7788198281293
75,655,3280,0.21436676845371394,0.16805198891162668,2.1120555907447005,0.7262333740006325,0.3864813172698994,523.8035729234615
76,660,3305,0.22459849563792897,0.16294544581944784,2.051669805218612,0.7244734431288804,0.4962699432403719,523.8556456754402
77,665,3330,0.2320592780468922,0.15671980680879039,2.0,0.7162649545530748,0.522763822936705,523.7634246679495
78,670,3355,0.2542919793828089,0.14752232005315877,2.3061591408485373,0.7326659797786685,0.5613555079461673,523.808880955752
79,675,3380,0.22139861152443255,0.15374841257101626,2.0,0.7127607286361068,0.47049111232785207,523.7585155683639
80,680,3405,0.228373438228687,0.147722424789338,2.3978714032663393,0.6729581304368347,0.5059105488193644,523.7133200952026
81,685,3430,0.23645645680736976,0.1426059125990625,2.226424750755734,0.6236664113512191,0.39911871062431303,523.9453499524374
82,690,3455,0.24084616058176928,0.13805607669207598,2.3809804249940827,0.5332600142543374,0.3613125518924465,524.1684584502606
83,695,3480,0.2861574403808002,0.1298529236141923,2.0,0.32286008349830914,0.29979934464063446,524.6212881966584
84,700,3505,0.5140995012465922,0.27215818874019576,2.0674218033492426,0.16318925212633478,0.05724188425679457,526.528483576043
85,705,3530,0.5013108759651842,0.302441260670245,2.0695362856283053,0.20117144411603716,0.045287513362332284,526.529170840326
86,710,3555,0.41726570511627115,0.28748630155978966,2.106332273871025,0.23322120072091787,0.01,526.4852446482613
87,715,3580,0.3830485770306813,0.2406135370710254,2.0948957112110125,0.21074808864133532,0.08956070084177309,526.4910756266291
88,720,3605,0.4111291452002557,0.20680789234589295,2.092618799427057,0.1403095373557847,0.09929748920043005,526.4755973762345
