,lineout pixel,Radius (\mum),amp3_general,ud_general,Va_general,Te_electron,Ti_ion-1,Z_ion-1
0,250,-800.2933862399999,0.946739029220505,19.76276614911599,8.82121060921397,0.0641970392105538,0.11401222910705557,6.986508209375436
1,256,-783.0133862399999,1.0170074541364926,19.798797525381268,8.651566969112178,0.06736938142188835,0.11842099384136233,6.996704481880034
2,261,-768.61338624,1.0059210881405773,19.72050184076138,9.080442141366504,0.07438227608588391,0.12216393461925013,6.558289662381419
3,266,-754.21338624,1.0006156623420441,19.899187187917853,8.693262165010804,0.07071786150304381,0.14092038481637584,6.999990133373701
4,271,-739.8133862399999,1.0254300247248354,19.998701415239168,8.752251155743853,0.07851909628789012,0.12123431551259772,6.999999999999997
5,276,-725.4133862399999,1.0227691837209323,-7.61018980862379,8.759470070947913,0.7862403407341692,0.10610128078708196,1.0000000000024445
6,282,-708.1333862399999,1.0582519642292108,19.760475260322323,8.694782300753829,0.07694252437017446,0.14401637359646086,6.986505175862902
7,287,-693.73338624,1.06857989492132,19.793882447942913,8.833668043382637,0.0768958189964901,0.15192875263040784,6.996702799347421
8,292,-679.33338624,1.060766580741306,19.689889220740902,9.15836956677255,0.08573006559969484,0.18040026665316053,6.439278700607905
9,297,-664.9333862399999,1.062159281770361,19.89692468659419,8.84805182135985,0.08746455354918475,0.15804412164078505,6.999990133343309
10,302,-650.5333862399999,1.030211328521167,19.99870158366135,8.857762893346429,0.09337796464199148,0.16089930549873924,6.999999999999997
11,308,-633.2533862399999,0.908525471150454,19.987744865159108,9.01786426721904,0.9999388696602416,0.10858937134962074,1.0000000000024445
12,313,-618.85338624,0.9292809783164727,19.76089813523879,8.976228345192862,0.08985808072654963,0.18176106666647032,6.986514004223858
13,318,-604.45338624,1.032758445988344,19.793308474028912,9.0349283070282,0.09647012099441216,0.18124148536930249,6.99670312629229
14,323,-590.0533862399999,1.0237069449542573,19.691730169863547,8.914930840340602,0.10759956348535141,0.18375166836037857,6.462667061202344
15,329,-572.7733862399999,1.025243844680773,19.897139651234,8.953624510362857,0.10169154831935744,0.17869765311031438,6.999990133350009
16,334,-558.37338624,0.9905939609434374,19.998701692936855,8.989827784513395,0.09770151929451032,0.20608225881944517,6.999999999999997
17,339,-543.97338624,0.9229209721934769,19.987747180569507,9.165473362552419,0.9999388686112419,0.21042331659500188,1.0000000000024445
