,lineout pixel,Radius (\mum),Te_electron,amp3_general,ud_general,Va_general,Ti_ion-1,Z_ion-1
0,389,-399.9732479999998,0.1200000000000005,0.6204902062961385,19.999858550889066,8.427792537325775,0.2744052715003246,5.511263376525815
1,398,-374.05324799999994,0.12,1.030181691146848,19.99996631042996,9.99993896537707,0.10281485278043556,4.872435506915834
2,407,-348.13324799999987,0.12000000000000284,0.46144462217538246,19.999710116809986,8.293784991098825,0.3046467873171092,5.477104303415808
3,415,-325.0932479999999,0.1200000000000005,0.568058152926016,19.99985855437749,8.25085492176553,0.31015480768523573,5.472328624416214
4,424,-299.17324799999983,0.12,0.618287950858417,19.999966310552345,9.99993894702391,0.5394284971402911,6.647127002872638
5,433,-273.253248,0.12000000000000284,0.942848763021073,19.99971012540724,7.701779274134566,0.2867256680540724,6.733042753861312
6,441,-250.2132479999998,0.1200000000000005,0.8047653972194926,19.999858554362774,7.552403282607955,0.3463383472422295,5.71301136482132
7,450,-224.29324799999995,0.12,0.638513982272838,19.99996631056475,9.999938945683773,0.5282219382751914,6.652414202123851
8,459,-198.37324799999988,0.12000000000000284,0.6869871386036156,19.99971012508339,7.925061022262518,0.28278652117914943,6.708598904562258
9,467,-175.3332479999999,0.1200000000000005,0.8426027421933461,19.999858554463053,7.590397664826561,0.2887516773036957,5.819342549221898
10,476,-149.41324799999984,0.12,0.5792736555210285,19.999966310573363,9.999938943987328,0.5703416506342038,6.654226721662008
11,485,-123.493248,0.12000000000000284,1.001296222926607,19.999710124888452,7.712766637946842,0.2616751635568008,6.688932068707157
12,493,-100.4532479999998,0.1200000000000005,0.9508938914260735,19.999858554442213,7.547153357070787,0.30909968860564585,5.851474858480559
13,502,-74.53324799999996,0.12,0.6755408028190837,19.9999663105761,9.99993894361118,0.5723420043613304,6.653391136240585
14,511,-48.613247999999885,0.12000000000000284,1.0144508259306368,19.999710124442032,8.111179435892492,0.2784747700284372,6.667369963592622
15,519,-25.57324799999992,0.1200000000000005,0.956185733102997,19.999858554450228,7.496442768907709,0.28851893053519323,5.752535676702436
16,528,0.3467520000001514,0.12,0.6853669351038983,19.99996631059095,9.99993894241932,0.5707287595409666,6.64924659354747
17,537,26.266752000000224,0.12000000000000284,0.9751442102510701,19.99971012532147,7.401037769086372,0.23333091271224543,6.641713433672425
18,546,52.18675200000007,0.1200000000000005,0.8107850749913422,19.999858553917356,7.3146254549891445,0.3442395030403865,4.663096937243589
19,554,75.22675200000003,0.12,0.6226179425804153,19.99996631067691,9.99993893727278,0.6517800010740974,6.55718059836562
20,563,101.1467520000001,0.12000000000000284,0.9329596040071853,19.99971012141026,7.1538266148062455,0.29043368449543916,4.867701489323871
21,572,127.06675200000018,0.1200000000000005,0.9319558168994546,19.999858553941962,7.130229793789216,0.28729164948470537,4.133375539316492
22,580,150.10675200000014,0.12,0.5368403774247775,19.99996631069812,9.99993893735845,0.6364289406516436,6.485887246446183
23,589,176.02675200000022,0.12000000000000284,0.6098695209390835,19.99971012168872,6.641290299067322,0.2884854644440758,3.191057329388387
24,598,201.94675200000006,0.1200000000000005,0.5814033722264184,19.999858553635796,7.018811706512636,0.359801972482342,2.273977482927151
25,606,224.98675200000002,0.12,0.4763845689736965,19.99996631072834,9.999938938132885,0.6365850111586955,6.237156292697072
26,615,250.9067520000001,0.12000000000000284,0.7725343712245327,19.99971012058387,6.968450670228439,0.2753043644582387,2.8582009828000734
27,624,276.82675200000017,0.1200000000000005,0.6197684186347804,19.99985855361882,7.1500582643165025,0.3558397882404244,2.261739615612474
28,632,299.86675200000013,0.12,0.43284140819697686,19.999966310729874,9.99993893818754,0.6343814244720265,6.220035756313523
29,641,325.7867520000002,0.12000000000000284,0.7290453080510947,19.999710120525116,7.0974426269760755,0.2700184886903321,2.8004110812513834
30,650,351.70675200000005,0.1200000000000005,0.6813085668320417,19.999858553605108,7.228394856381069,0.3546474431647564,2.2444233515173213
31,658,374.746752,0.12,0.4255127770924295,19.999966310730592,9.99993893821912,0.6370153892811612,6.206276388363651
32,667,400.6667520000001,0.12000000000000284,0.6833449035886706,19.999710120520405,7.1099654072824165,0.2682889897221934,2.747299127016502
33,676,426.58675200000016,0.1200000000000005,0.8185295648836307,19.99985855341,6.645021407346672,0.6064602667279342,1.2426060867118915
34,684,449.6267520000001,0.12,0.6316322680890792,19.99996631089411,9.999938942774133,0.35641537746141955,4.127350003820553
35,693,475.5467520000002,0.12000000000000284,0.7288548844615073,19.99971013226689,5.109050645080021,0.12047125423305542,1.0000295158931731
