,lineout pixel,Radius (\mum),amp3_general,ud_general,Va_general,Te_electron,Ti_ion-1,Z_ion-1
0,233,-849.2533862399999,1.020318824662027,20.0,9.054975840850588,0.12093304325714306,0.1,3.8221283724250137
1,242,-823.33338624,1.2045397181167288,20.0,8.453093255960276,0.1209357200395677,0.1,3.9439017953248134
2,250,-800.2933862399999,0.9947462939936288,20.0,8.72353735452662,0.12093487083383915,0.1,3.904827256348752
3,259,-774.37338624,1.102757859862979,20.0,8.781271139853747,0.12093948403475303,0.1,4.24880771752217
4,268,-748.4533862399999,1.1884934107321414,20.0,8.203068885377562,0.1209421928325733,0.1,4.337766775135408
5,276,-725.4133862399999,1.2195490400388065,20.0,8.725532487570085,0.49993813136391246,0.1,1.3724887267756318
6,285,-699.49338624,1.2439290403189518,20.0,8.563902148448268,0.4999381355309912,0.1,1.4277563204912913
7,294,-673.5733862399999,1.518626574916138,20.0,8.723150528176564,0.49993814574569234,0.1,1.572237130947268
8,302,-650.5333862399999,1.2837199829524355,20.0,8.476049822304208,0.499938151199371,0.1,1.697720317888109
9,311,-624.61338624,1.1539370262449204,20.0,8.989977049634511,0.49993815053304136,0.1,1.6700203923209922
