Year,iaw_ccd_mean,iaw_ccd_median,iaw_ccd_std,iaw_ccd_total,iaw_ross_mean,iaw_ross_median,iaw_ross_std,iaw_ross_total,epw_ccd_mean,epw_ccd_median,epw_ccd_std,epw_ccd_total,epw_ross_mean,epw_ross_median,epw_ross_std,epw_ross_total
2015,605.7183493490262,606.0,6.14582796596906,966552.0,634.0000757721117,631.0,28.779507082006877,818243.0,604.5232553784053,605.0,5.884261278752184,907704.0,659.4338142304623,657.0,26.74684705599961,814450.0
2016,605.7055875996128,606.0,6.196012039690044,1508340.0,721.5676187022937,702.0,115.57568507297286,430236.0,604.967695262484,605.0,6.027852724970123,937200.0,731.5924897290365,715.0,104.73786173445906,842180.0
2017,,,,,,,,,,,,,,,,
