,lineout pixel,Radius (\mum),amp3_general,ud_general,Va_general,Ti_ion-1,Z_ion-1
0,316,-801.40567,0.9687680453811699,8.291608235972078,-4.037575844622829,0.07101020071859936,3.1437609401387285
1,323,-779.5775,0.9833869643584555,10.879257407205913,-3.8589655521406883,0.0747287670223506,3.3126431552063424
2,329,-760.8676399999999,0.9390415815141598,6.6410501171403595,-4.068940322485528,0.06593269805487377,3.240714636038638
3,335,-742.15778,0.9017404361207135,3.2483082192795365,-4.121840373387474,0.06420695973138991,3.2850330989716547
4,342,-720.32961,0.9184346830434087,1.7433452715292859,-4.247855250622408,0.062105358875275705,3.400650116492432
5,348,-701.6197500000001,0.9183868905760767,2.5686493621626667,-4.0709751219924755,0.06881523548293232,3.5394051489700713
6,355,-679.7915800000001,0.9230007970941128,2.618759324595004,-3.9138510649476386,0.06817335130850757,3.666110017906928
7,361,-661.0817199999999,0.9395936138759521,2.1703782591069327,-4.058099793871442,0.06845421228502277,3.633850770422547
8,367,-642.37186,0.8889197907998825,1.7265301965203008,-4.190170508912001,0.06681155302452686,3.5802525617644507
9,374,-620.54369,0.9477606034426523,1.3137560599628273,-4.095867542256638,0.06553277329661912,3.4922345450086025
10,380,-601.83383,0.9409805632868687,1.3742626161663551,-4.260970999819608,0.07206921161133958,3.6511213149105335
11,387,-580.00566,0.9021839489341389,2.300681043147989,-4.1300311358721515,0.07531173947645267,3.481834109991093
12,393,-561.2957999999999,1.005189346209611,-2.1448202956980964,-3.9442124314017093,0.09230455501563575,3.5930999117061115
13,400,-539.4676299999999,0.8765056734376445,6.887849474666929,-4.0560554834093,0.09700171859078291,3.495004552658182
14,406,-520.7577699999999,0.9422517349811809,-3.3158264983792094,-4.233424099850166,0.11011865330371198,3.2479594066109785
15,412,-502.04791,0.8261270784183765,9.342403090584213,-4.074502521418903,0.11219446405825396,3.2243513963316395
16,419,-480.21974,0.8409766536883052,-9.444478192710996,-4.306364325942104,0.1253506010993319,3.0526957659414053
17,425,-461.50987999999984,0.8016598470484505,-6.819436888204351,-4.3549994622024135,0.12743057704161662,3.130228574444666
18,432,-439.68170999999984,0.6207717243244267,-16.09449421420112,-4.647662218507761,0.15649873949983178,2.626675941331186
19,438,-420.9718499999999,0.6716518931747115,-18.579734188294243,-4.594237230552132,0.14880129398740202,2.7547113449093468
20,444,-402.26198999999997,0.7185128937685414,-16.84305257563505,-4.499365859115736,0.1454519196187789,2.9855309466836086
21,451,-380.43381999999997,0.6682658489792499,-1.029281715187274,-4.712136829460932,0.1318662745011948,2.9707458905967834
22,457,-361.72396000000003,0.5172685828952412,3.5538896736401497,-4.399704605191442,0.16685029288661693,2.7300601406229106
23,464,-339.89579000000003,0.5305398470846061,-10.803919191392495,-4.526815233693736,0.16690757571255702,2.6898809571509052
24,470,-321.18592999999987,0.5283313963372998,-14.953481980315,-4.475891871560283,0.17597100022651901,2.5920936718478385
25,477,-299.35775999999987,0.5218365997517492,6.452049691738573,-4.3814051280873,0.15768886133577162,2.6489696359664974
26,483,-280.64789999999994,0.5995853986466766,-3.1959030803118367,-4.503483024261837,0.15069853580715978,2.856267378027721
27,489,-261.93804,0.5881032292794991,-7.373140406285103,-4.457298453895308,0.15590375367186726,2.817848890446693
28,496,-240.10987,0.8121397673692824,7.576968038432739,-4.465052135444395,0.11744371432591888,3.1003361724902105
29,502,-221.40000999999984,0.697195623511114,-4.498841040582569,-4.4794268312618835,0.12672609235005963,2.9236588403941877
30,509,-199.57183999999984,0.6293986608161463,-21.309215662062012,-4.252468057684093,0.1604872825912739,2.641948718127346
31,515,-180.8619799999999,0.6508080084384468,-39.999465502651695,-4.5153884288569115,0.16311138733856664,2.591736075786561
32,521,-162.15211999999997,0.6713802979520869,-39.99921105122756,-4.570475144657164,0.16199763125922814,2.692864160441164
33,528,-140.32394999999997,0.6474102773279097,-18.249256695743703,-4.38531942550653,0.1471831108376618,2.655999355017978
34,534,-121.61409000000003,0.640612576179263,-39.99997999518674,-4.258512447919226,0.15500182734636664,2.466766417213042
35,541,-99.78592000000003,0.5448596484690437,-39.999552785754084,-4.141500870931924,0.18200338095981386,2.3694636909722493
36,547,-81.07605999999987,0.5755317899484682,-39.86923397387606,-4.262657451598553,0.16975510434126898,2.1942351361260535
37,553,-62.366199999999935,0.4133425437731414,-39.99946557841034,-4.4989335955121765,0.22017912934748443,1.7874761274587585
38,560,-40.538029999999935,0.32292652433168617,-39.9992112295264,-4.102983404718267,0.320550549809724,1.0000090836062188
39,566,-21.82817,0.311696879028308,-38.76538413074986,-5.067915123437579,0.2835279600077803,1.0000159216133562
40,573,0.0,0.29336710682585304,-39.999979995442644,-4.256556049270177,0.25655367223584596,1.0000001973086026
41,579,18.709860000000162,0.7189015639204976,-39.999552706829505,-7.818893645927821,0.020397742898223447,1.0000006409358522
42,586,40.53803000000016,0.7434507008534847,-39.87137947757069,-9.277171667850746,0.024428607407618798,1.0216838281338156
43,592,59.2478900000001,0.7262738576985406,-39.999465611908875,-8.126547602454423,0.021816293669306173,1.0141020178171098
44,598,77.95775000000003,0.2776968255974566,-39.99921125715646,-4.014829147051012,0.23565450577582903,1.000009080641497
45,605,99.78592000000003,0.7637572072669743,-38.86265211992492,-8.432488915447248,0.024292639054866463,1.0000159151233905
46,611,118.49577999999997,0.29156863112008896,-39.99997999546107,-4.234512297096131,0.22093793756202118,1.0000001973070236
47,618,140.32394999999997,0.8337770795188375,-39.99955270123063,-8.53516185914943,0.02450551846144406,1.0000006409339217
48,624,159.03381000000013,0.8734363310237513,-39.87137951313438,-9.277156849834743,0.024428204221507245,1.0216842074604242
49,630,177.74367000000007,0.8548325918768793,-39.99946561128491,-8.154100830895741,0.02215326128849362,1.0139771057812526
50,637,199.57184000000007,0.317994833600246,-39.99921126085705,-3.838346198884322,0.19842000627219475,1.0000090800678583
51,643,218.2817,0.8090726847107468,-38.86278760021492,-8.418007578995041,0.023108179693899368,1.0000159151451369
52,650,240.10987,0.3189996924858258,-39.99997999546285,-3.5134043685109084,0.193215934120796,1.0000001973067318
53,656,258.81973000000016,0.7987783027064626,-39.999552701436535,-8.51916368969198,0.023154769972715053,1.0000006409339894
54,663,280.64789999999994,0.720432361269829,-39.871379896259825,-9.277161630292351,0.024428549915504645,1.021682543091262
55,669,299.35775999999987,0.6824720123282298,-39.999465610563526,-8.549274174291066,0.023609806698008516,1.0138737316046669
56,675,318.06762000000026,0.23246781249807605,-39.99921126233279,-3.3826621332537847,0.19560934861027351,1.0000090798237946
57,682,339.89579000000003,0.6624349522599521,-38.8616697377469,-8.613892335106314,0.02323878912013743,1.0000159150838022
58,688,358.60564999999997,0.21441893696303155,-39.9999799954631,-2.657396362625285,0.18425366516898542,1.0000001973066055
59,695,380.4338200000002,0.6568687065803207,-39.99955270119915,-8.726093948374142,0.02360643948844341,1.000000640933866
60,701,399.14368000000013,0.6585271903298597,-39.87137989293567,-9.27718876092158,0.0244292265934626,1.0216824889431675
61,707,417.85354000000007,0.6627093497979493,-39.99946561055354,-8.549366657430362,0.023611810147932226,1.0138733664565631
62,714,439.6817100000003,0.20656983357574057,-39.999211262587494,-3.1647185433637013,0.1935292011287438,1.0000090797688608
63,720,458.39157000000023,0.6170415654570873,-38.86166779855524,-8.613997540969041,0.02324005738798289,1.0000159150837225
64,727,480.21974,0.2179532230350865,-39.99997999546308,-2.664063200363703,0.1852902698034923,1.000000197306604
65,733,498.92959999999994,0.6563998934052647,-39.9995527011991,-8.72575741979455,0.02360797280775988,1.0000006409338662
66,739,517.6394599999999,0.6796050666125876,-39.871382434437486,-9.277183900218478,0.02442908538654103,1.0216797930703836
67,746,539.4676300000001,0.63453311492696,-39.99946560606131,-8.556312468162869,0.0253897647389442,1.013775371822984
68,752,558.17749,0.29570261280916293,-39.99921126193984,-2.714260888798691,0.48999533009392593,1.000009079338195
69,759,580.0056600000003,0.7105052434559018,-38.85311608906008,-8.50999654802936,0.02614896929717679,1.0000159150519345
70,765,598.7155200000002,0.24452220782867734,-39.99997999546218,-3.747045640142491,0.36443817935075296,1.0000001973063646
71,772,620.54369,0.6768384642809119,-39.999552700150126,-8.462186087385499,0.02612631379371954,1.0000006409338795
