,lineout pixel,Time (ps),Te_species1,m_species1,Ti_species2,amp3_general,ud_general,Va_general
0,-760,1325,0.7999999978260669,2.499999997418791,0.15000000041322148,0.7999999094737505,6.010880682083553e-10,-1.2877815910861123e-06
1,-750,1375,0.7999933039257164,2.4999928975242094,0.15000013944264617,0.799832444468196,1.5533225794506222e-06,-0.0032103836089413806
2,-740,1425,0.7999212258542376,2.4999145735901123,0.15000068719287657,0.7977319938426071,1.3399642864175831e-05,-0.03231493142586789
3,-730,1475,0.8000218712623802,2.5000062390176625,0.15009085563125463,0.793756213469185,6.364370886968729e-05,-0.16033499632493997
4,-720,1525,0.7994156663270925,2.499376504300877,0.15009741483883698,0.7769008514601524,0.0002384912348363244,-0.5110375714857027
5,-710,1575,0.7979980041050567,2.497923991121751,0.15005495512166986,0.7419278276270498,0.0005857372902862146,-1.1905210616259885
6,-700,1625,0.7987837835133967,2.498741418559176,0.1500121586442021,0.7661450860865294,0.0003396311060122059,-0.6832607530341119
7,-690,1675,0.7996970414540917,2.499692057201173,0.14998509932826648,0.7916025302829761,8.33717145320989e-05,-0.16855898975439026
8,-680,1725,0.7996205432228793,2.4996121278827474,0.14998326598994402,0.7898954017085857,0.00010017557517949527,-0.2014976915276558
9,-670,1775,0.7998013409764969,2.4997964795864314,0.1499910141773495,0.7947949146236016,5.116437704177912e-05,-0.1026700875370094
10,-660,1825,0.7987880258455861,2.498763866550837,0.1499154452151225,0.7680289788220572,0.00031365710256636703,-0.634770395575549
11,-650,1875,0.7977749555762668,2.497772126435572,0.1497330416462432,0.7417214918051317,0.0005787577232774233,-1.1737409077784569
12,-640,1925,0.7990946686978492,2.499066352874496,0.1499217222327169,0.7769623710810217,0.00023445864435256425,-0.4769479676176561
13,-630,1975,0.7987153390713831,2.4987139083775944,0.14982863959465892,0.766029849144973,0.00033933675016140086,-0.6936663237392384
14,-620,2025,0.7990033923109052,2.4989864696143673,0.14986920975913384,0.7744194440570545,0.00026078756225844657,-0.5352348599485726
15,-610,2075,0.7997150326817001,2.499705458503623,0.14996651799658495,0.7929158387624273,7.402421136504245e-05,-0.1522810431573971
16,-600,2125,0.79959937518298,2.4995838218608886,0.14994620412883564,0.7903124441920877,0.0001034668488664181,-0.21521478929793336
17,-590,2175,0.7995296926774734,2.4995257678791254,0.14992460772411006,0.7885603208843301,0.0001194751124988791,-0.2456083076974071
18,-580,2225,0.7993712057269607,2.499355986538923,0.14990629684554926,0.7848623771596889,0.00015878606148600483,-0.3261315202403076
19,-570,2275,0.7997353769748938,2.499731549968535,0.14995611705301368,0.7937713149323714,6.726217716135352e-05,-0.13942528141822097
