,lineout pixel,Radius (\mum),amp1_general,amp2_general,Te_electron,ne_electron,m_electron
0,242,-816.265724350804,0.856052111504252,1.0130808389429018,0.16138777138698504,0.07466450056952262,2.0286081969182206
1,249,-796.1057243508039,0.8293019937899612,1.09682885035244,0.1784050808510078,0.0796285926427873,2.00141425464553
2,256,-775.945724350804,0.7514533837554377,0.9540024020408039,0.16574733570608555,0.08358294927504861,2.001778143083651
3,263,-755.785724350804,0.7350359984668386,1.2171241968971775,0.18476926017274176,0.09446626874613813,2.0000003623707885
4,270,-735.6257243508039,0.856706517695293,0.8308992148673287,0.20669087695763178,0.0901570874326005,2.0000121375445072
5,277,-715.465724350804,0.7961618642767335,1.0933561068058761,0.19683302660905505,0.09756748600592798,2.0000121185082436
6,284,-695.305724350804,0.8379645442011572,1.1783158167878698,0.20208191412522294,0.1004420758836658,2.0284156521335253
7,291,-675.145724350804,0.8446743347882111,1.0885470775720052,0.2214263160728137,0.10288227346821749,2.0014137466723465
8,298,-654.9857243508039,0.8574757090637308,0.8763742988718781,0.2056507931402535,0.10837827790268247,2.00177733869817
9,305,-634.825724350804,0.9203187192773948,1.1706859961537253,0.20987823611156137,0.11012942124532733,2.000000362370759
10,312,-614.665724350804,0.8786085665931775,0.9870051435461173,0.20561850440452237,0.11888095788452542,2.0000121375330253
11,319,-594.505724350804,0.8516838880018026,1.1337534025547775,0.2130306456589848,0.11867485209393859,2.0000121184435597
12,326,-574.345724350804,0.9406227491712424,1.2491534009341123,0.21239862280714958,0.12409892472537479,2.0282293912821596
13,333,-554.185724350804,0.8593550844004354,1.1030783726171678,0.22426462223678864,0.12604011932165846,2.001413631445736
14,340,-534.025724350804,0.8687134410010328,1.3017256612059334,0.2321653670938495,0.13337627652409476,2.0017765970767925
15,347,-513.8657243508039,0.7914803272497954,1.3533021058810324,0.2235653790794027,0.13654963658229,2.000000362370742
16,354,-493.70572435080396,0.9048432975100467,0.9904185657180677,0.21952833147688752,0.14151164367614788,2.000012137519749
17,361,-473.545724350804,0.9443859195970771,1.1587390339468275,0.23660197317674111,0.13831337740317864,2.0000121184043698
