,lineout pixel,Time (ps),Te_species1,Ti_species2,amp3_general,ud_general,Va_general
0,340,1705,0.9650363746703364,0.2685493300271748,0.6906339141074922,-2.0010059845864534,0.025896363324639515
1,364,1825,0.9881760497189753,0.25708128507499584,1.186687325753739,-1.9985665634175453,-0.007698500199161518
2,388,1945,0.9210088268059423,0.2701195745575267,1.1323581948647858,-1.9972449296807404,0.06550573472731203
3,412,2065,0.8931042111828192,0.281180272692896,1.2264530956679955,-1.995374033512245,0.07234426748459599
4,436,2185,0.9214608996025059,0.25179697952448005,1.0660926748164725,-1.9971355685728476,0.08267858705911546
5,460,2305,1.0253721364900112,0.3335099581045174,1.031399989413208,-2.000267758276113,-5.674030894083738
6,484,2425,1.0022422772016675,0.2592977382806495,0.10370630887472415,-1.9984569712412614,-9.750538496417539
7,508,2545,1.0371701789985104,0.31454907718817077,0.9862617990194158,-1.9987477248302943,-7.600723194493626
8,532,2665,1.008782429303015,0.27377711282927697,0.9476766982945406,-1.9999137687529456,-1.3016306691517667
9,556,2785,0.9940416752770516,0.24927368190160074,0.9691005433366284,-2.000000048310464,-1.1522835681944397
