,initial_losses,losses,initial_reduced_losses,reduced_losses
0,124.56859970854471,124.56859970854471,113.24418155322246,113.24418155322246
1,141.09628280389603,141.09628280389603,128.26934800354184,128.26934800354184
2,200.80953716133786,200.80953716133786,182.5541246921253,182.5541246921253
3,254.71108698359885,254.71108698359885,231.5555336214535,231.5555336214535
4,289.0621936385935,289.0621936385935,262.78381239872135,262.78381239872135
5,313.1515309611355,313.1515309611355,284.6832099646686,284.6832099646686
6,483.6401380708357,483.6401380708357,439.6728527916688,439.6728527916688
7,526.8970777240689,526.8970777240689,478.9973433855172,478.9973433855172
8,545.4974684553569,545.4974684553569,495.90678950486983,495.90678950486983
9,741.4930577543564,741.4930577543564,674.0845979585058,674.0845979585058
10,3560.112463713567,3560.112463713567,3236.465876103243,3236.465876103243
11,5290.610744947048,5290.610744947048,4809.646131770043,4809.646131770043
12,6435.115686970565,6435.115686970565,5850.10516997324,5850.10516997324
