,lineout pixel,Time (ps),amp1_general,amp2_general
0,264,151.67000000000002,0.059405988961295425,0.07107423643197536
1,302,350.41,0.078299102916183,0.035988165559378345
2,340,549.1500000000001,0.06354027823735117,0.06808014377448678
3,378,747.8900000000001,0.09596305088796717,0.03618873375017913
4,417,951.8600000000001,0.10697241883259853,0.04913384654163878
5,455,1150.6000000000001,0.11571380867559798,0.03945588732174358
6,493,1349.3400000000001,0.1364613949636521,0.049198893509536594
7,531,1548.0800000000002,0.1822934463055673,0.04099027170814868
8,570,1752.0500000000002,0.2451064822354993,0.14377442381124442
9,608,1950.7900000000002,0.45794713288047634,0.17742901960945254
