,initial_losses,losses,initial_reduced_losses,reduced_losses
0,263.8732100471917,263.8732100471917,239.8847364065379,239.8847364065379
1,220.05797422578576,220.05797422578576,200.0527038416234,200.0527038416234
2,207.57002300542496,207.57002300542496,188.70002091402267,188.70002091402267
3,480.96399545316456,480.96399545316456,437.2399958665132,437.2399958665132
4,440.1152018035085,440.1152018035085,400.10472891228045,400.10472891228045
5,618.3269784379003,618.3269784379003,562.1154349435457,562.1154349435457
