,lineout pixel,Radius (\mum),amp3_general,ud_general,Va_general,Te_electron,Ti_ion-1,Z_ion-1
0,268,-748.4533862399999,1.1643251231111886,19.328940196801845,8.287302202725986,0.39896702305801013,0.09099999999723903,1.6137457829937927
1,273,-734.0533862399999,1.1565549832764774,5.728492270361688,8.727563595533667,0.39999998986403706,0.091,1.7647301317081747
2,278,-719.6533862399999,1.0918178789685224,2.9515385696283083,8.742963856486263,0.39999998588502933,0.09099999999998197,1.6792686184899783
3,283,-705.2533862399999,1.213782439750214,7.693621479113965,8.499181251186393,0.39999996957233513,0.091,1.764192568028454
4,289,-687.97338624,1.197736445098981,-5.875687539233198,8.881159346043827,0.39999999999604885,0.091,1.810291824186106
5,294,-673.5733862399999,1.2996180176781529,-9.404174745994787,8.791720691730298,0.39999999999362784,0.091,2.05719739284648
6,299,-659.1733862399999,1.2347461320812676,2.0007195777732143,8.568550377048325,0.39999999999655933,0.091,2.10342478078974
7,304,-644.7733862399999,1.2721219253014664,0.39477726699246674,8.67239356781704,0.3999999998768248,0.091,2.123206139171179
8,309,-630.37338624,1.1472539235592485,18.439536288930363,8.940616944179347,0.39999896520795136,0.091,2.027094836967062
9,315,-613.09338624,1.2937457244659165,0.6830167776296001,8.557838999610226,0.39999999999975894,0.091,2.1184341168417298
10,320,-598.6933862399999,1.2936463980769837,-2.5548725448232865,8.930720449400013,0.3999999999981808,0.091,2.2479528638101827
11,325,-584.2933862399999,1.2495941766872511,5.056242691258323,8.341508467050474,0.3999999687730758,0.091,2.2407839945052803
12,330,-569.8933862399999,1.3089206937630764,5.263918777505051,8.375707652733531,0.39999999712014456,0.091,2.2511793296322424
13,335,-555.49338624,1.2878437765138784,3.707088286490567,8.310071592753609,0.39999999902782707,0.091,2.277210809761373
14,341,-538.21338624,1.1105370009247726,-8.517538733847765,10.0,0.3999999999999716,0.091,1.743630873812896
