Year,File,ROI,Mean,Std
2016,EPW_ccd_o_tcc.hdf,1,604.3829261403756,5.916741188752047
2016,EPW_ccd_o_tcc.hdf,2,604.3795608477168,5.914648237991787
2016,EPW_ccd_o_tcc.hdf,3,605.9700858604311,5.988106562963819
2016,EPW_ccd_o_tcc.hdf,4,606.0936399507829,6.00424608489095
2016,IAW_ccd_o_tcc.hdf,1,605.4849283685606,6.1533487282241035
2016,IAW_ccd_o_tcc.hdf,2,605.6002703736071,6.162783105133621
2016,IAW_ccd_o_tcc.hdf,3,606.4490470101084,6.195174169582085
2016,IAW_ccd_o_tcc.hdf,4,606.2487165344309,6.2243031879098805
2016,epw_ross_4w_263p25cw.hdf,1,726.775839884511,111.57948886567353
2016,epw_ross_4w_263p25cw.hdf,2,735.5684673366834,138.55443506702358
2016,epw_ross_4w_263p25cw.hdf,3,737.7271495554744,118.53331076234731
2016,epw_ross_4w_263p25cw.hdf,4,731.3563154991726,92.3821976040198
2016,iaw_ross_4w_263p25cw.hdf,1,720.6142729369675,110.12660424100704
2016,iaw_ross_4w_263p25cw.hdf,2,735.9879287743063,112.25158949000944
2016,iaw_ross_4w_263p25cw.hdf,3,734.8896906588723,121.96274087462429
2016,iaw_ross_4w_263p25cw.hdf,4,728.9735881878739,103.24552147456365
