,lineout pixel,Radius (\mum),amp3_general,ud_general,Va_general,Te_electron,Ti_ion-1,Z_ion-1
0,268,-748.4533862399999,1.2504680391117673,24.999999897572955,8.392086791091337,0.1500273459615957,0.05633035837326162,5.3320469626395175
1,271,-739.8133862399999,1.2195642832868356,24.999999999220805,8.608613691929513,0.1500295331660261,0.05795552076354149,5.32146990673072
2,275,-728.2933862399999,1.248642903761879,24.999999922119116,8.628627752920906,0.1500451183207585,0.04896865663781469,5.683969716038606
3,278,-719.6533862399999,1.2001923709800344,24.99999937067963,8.699563779950392,0.15010042261135959,0.05138212564005678,5.38466483273551
4,282,-708.1333862399999,1.2877988936097018,24.99999999990962,8.505144965475868,0.15000379330133615,0.05628125194066318,5.660765471014352
5,285,-699.49338624,1.2830771440107835,24.999999897572955,8.596159203653436,0.15002734290035383,0.05637022695535534,5.6797300683921925
6,289,-687.97338624,1.2604310709278912,24.999999999220805,8.860590911387796,0.15002953435910435,0.053032483543486365,5.820609674764334
7,292,-679.33338624,1.2964286737101636,24.999999922119116,8.980512798585039,0.15004514023524818,0.05310772947359097,6.195311933940357
8,296,-667.8133862399999,1.2973833980836937,24.999999370679717,8.654206234753595,0.15010056269749064,0.0612965955987888,6.435569782268342
9,299,-659.1733862399999,1.2723684177632444,24.99999999990962,8.612832204202295,0.15000379371630665,0.06558782889869344,6.529018412077696
10,302,-650.5333862399999,1.2452806804930465,24.999999897572955,8.654136788426435,0.1500273801853569,0.06953981803050542,6.783641150570665
11,306,-639.0133862399999,1.2258976172085434,24.999999999220805,8.947391874051359,0.15002950181245206,0.06669437513320423,6.322980743383196
12,309,-630.37338624,1.1804492162366564,24.99999992211913,9.105625760693975,0.15004500718867517,0.07071095246850655,6.258010815643425
13,313,-618.85338624,1.2379290634885176,24.9999993706799,8.97939981712759,0.15010000915326377,0.06461276823469851,6.440713731748736
14,316,-610.21338624,1.3265218098666938,24.99999999990962,8.639093526971987,0.15000379457428897,0.06730774379766688,6.846713358282143
15,320,-598.6933862399999,1.293998509276112,24.99999989757299,8.986897682955487,0.15002768465873104,0.06783401424635122,6.99643838056695
16,323,-590.0533862399999,1.3262686014702187,24.999999999220805,8.616650132003482,0.15003063476975362,0.07149517438272496,6.9999999958997305
17,327,-578.5333862399999,1.2446040656554547,24.999999922119137,8.660109230504293,0.15004755860005706,0.07210874077737589,6.999999984001924
18,330,-569.8933862399999,1.3183392368023463,24.999999370681792,8.58128716323598,0.1501156557770559,0.07420329654457695,6.9999999890686375
19,334,-558.37338624,1.352835785278642,24.99999999990962,8.46097848676041,0.1500038178409007,0.07343729839707104,6.999888501528401
20,337,-549.73338624,1.3481146990838504,24.9999998975797,8.734104375676306,0.1685959519329138,0.0779513734615529,7.0
21,341,-538.21338624,1.2695734125370368,24.999999999220805,8.887938647466829,0.15639442148494084,0.06709222350987562,6.999999995899832
22,344,-529.57338624,0.818038525398405,24.999999922125703,8.928885620950524,0.15000993121041517,0.06776234035308466,6.99999998400258
23,348,-518.0533862399999,1.1217293765599559,24.999999371194463,10.0,0.15,0.07391206097733441,6.999999989067518
24,351,-509.4133862399999,1.1500532522899471,24.99999999990962,10.0,0.15000003855825209,0.07421537701875885,6.99705256612714
