,lineout pixel,Radius (\mum),Te_electron,ne_electron,amp1_general,amp2_general
0,329,-960.7845338550003,0.25955813162307606,0.13167774805836008,0.7326757966792704,0.9478109100524353
1,339,-909.4845338550001,0.23218892606466224,0.13482986777917633,0.6585004275509023,0.955339658707889
2,349,-858.1845338550002,0.28818376367197174,0.1286158618315998,0.8415055036390895,0.9726935723970696
3,358,-812.0145338550001,0.2089483586818704,0.14738849297658985,0.6573372124153566,0.9283124496020904
4,368,-760.7145338550001,0.2751721241430388,0.13683624446903353,0.8222965858990222,0.9619096941683163
5,378,-709.4145338550002,0.22503024817729972,0.16249236044983734,0.6956749819257412,0.920044131593571
6,388,-658.1145338550002,0.23657588927145898,0.15632568037381528,0.7440781947958961,0.9040629808650485
7,397,-611.9445338550001,0.25674091924790005,0.15083738592223017,0.7909723300033012,0.9228494588112427
8,407,-560.6445338550002,0.35723174686182135,0.2189417086720415,1.0067997468140053,0.7164567331345898
9,417,-509.344533855,0.3027210169405834,0.13569201619828494,0.897892702770899,0.958640883131239
10,427,-458.0445338550003,0.2608487647468641,0.16315536698577573,0.7938872942338295,0.9128605925626696
11,436,-411.8745338550002,0.25262008540703434,0.16281340767754945,0.7705729659505051,0.9163940442842167
12,446,-360.574533855,0.2620143883869591,0.16186121043599735,0.7893534420451733,0.9151725094209836
13,456,-309.2745338550003,0.2510256214883583,0.16342282516811676,0.7731229577749757,0.9122942877495853
14,466,-257.9745338550001,0.2514605578155841,0.16542057466111507,0.7791302068746057,0.9016998454560039
15,475,-211.80453385500005,0.2694824661352643,0.16535635202931273,0.7990599091297147,0.9169819183433727
