,lineout pixel,Radius (\mum),Te_electron,Ti_ion-1,lam_general,amp3_general,ud_general
0,181,-999.0134179199998,0.31065229718984,0.1444840168617447,532.0074814072307,0.1501196525309463,39.80786232819292
1,250,-800.2934179199998,1.3187481661809881,0.3772119620213527,531.2154529258545,2.5126596830098853,25.297969793334488
2,320,-598.6934179199998,0.20014196022333502,0.08745817822307658,531.6422631617407,3.38339657146128,5.6284596357939485
3,389,-399.97341791999975,1.9605235757036963,0.5328113635513915,531.3784039911989,3.710661268738666,18.11782684679062
4,458,-201.25341791999995,0.38370183209479697,0.15020986759618038,531.5523197466129,2.599678177967001,7.299189373218237
5,528,0.3465820800001893,0.2716181641788854,0.08366110885039595,531.606423998803,2.51505640158931,5.980897077871372
6,597,199.06658208000022,0.5896566340930612,0.06249117115533087,531.5099791822585,3.5236107292286984,11.229735773646755
7,667,400.6665820800001,0.3094302305253785,0.05100927744945535,531.5997431423832,2.5180013866386313,6.176366287797919
8,736,599.3865820800002,0.27159916808596196,0.1425961722390183,531.7158891907197,0.6743675133421546,39.99999999263677
9,806,800.9865820800001,0.38530209110714286,0.10780223030917868,531.6455427664727,0.8963837097379367,5.26763472151562
