,lineout pixel,Radius (\mum),Te_electron,ne_electron,m_electron,amp1_general,amp2_general,amp3_general,ud_general,Va_general,Ti_ion-1,Z_ion-1
0,247,-808.9332479999998,0.1657496445578116,0.06012228873619578,2.078283628176229,0.6389210967000444,0.8707414898667842,0.8726150020641856,5.316489994268451,8.57233898842614,0.09831829470532767,3.426774265225564
1,258,-777.2532479999999,0.16226143572908674,0.06896938369845004,2.0625363036012225,0.6049679648924623,0.9721731451656133,0.9714834280451256,9.779756620142386,8.642373579046996,0.09659844496520908,3.5458501853353908
2,268,-748.4532479999998,0.16235728788788892,0.07538780033240844,2.0331825903759424,0.7664899534200579,0.8737616949555866,0.954521636539642,14.042332019440963,8.40090487393757,0.11836203951490369,3.65752468092278
3,279,-716.7732479999999,0.15728615353436132,0.08391906585114084,2.080189252903849,0.7288488527534227,0.7926893520442975,0.8231566549327803,-5.053372108200435,8.602870937009065,0.11931682071678391,3.5550874364305316
4,289,-687.9732479999999,0.1795222417865704,0.09037310729236644,2.088165078856013,0.7341111764321804,0.8321804364358035,0.8759500622920581,-16.247856188754476,8.865156749574584,0.14213641438080565,3.2579010880801493
5,299,-659.1732479999998,0.18642082707918012,0.09724585101355955,2.0302004452076883,0.7289275048933969,0.7919986367371135,1.2698038962979328,2.3898130974582443,8.520622156103038,0.0619878193158669,4.914016757388861
6,310,-627.4932479999999,0.2042308555141879,0.09819338359106435,2.0777472849663643,0.6345012101878563,0.6105549979731484,0.8785927348012212,8.375663994958018,9.015225921258331,0.11839081771177422,3.367694714843248
7,320,-598.6932479999998,0.15582091936423487,0.11730473258859057,2.0671991043356903,0.3054711810426639,0.5600966648646358,0.8186423745853245,11.49726387421098,8.405583863316089,0.18164103240522575,3.944409968346846
8,331,-567.0132479999999,0.24944776387858925,0.11497770202257716,2.0328138999579215,0.6005246655663835,0.6556087556854127,1.0057092981126063,14.95604832297061,8.833771420888493,0.15684117785391744,3.587971512469051
9,341,-538.2132479999999,0.24839684095243336,0.12088567471005655,2.08030783698609,0.536236141742834,0.540308902793955,0.9450530611514572,-4.360186064963628,8.815570907286371,0.19118511824703427,3.6182263561648917
10,351,-509.41324799999984,0.17571982089981075,0.3177311961558593,2.085665830582184,0.33383281422275807,0.5672771820228235,0.5469249663513817,-7.877251271922631,9.0864297793463,0.24803577790386458,2.7418766062738964
11,362,-477.7332479999998,0.14377830153779428,0.12036393676424798,2.030517665833937,0.31875725133312116,0.37542258486365065,0.5383885062952036,17.340516916866818,8.406606558217948,0.18159751786882372,4.914155739053582
12,372,-448.9332479999998,0.2776747548209598,0.15268936633476304,2.0370393295073255,0.6782463927760133,0.845419163927605,0.8346225115890936,5.093944367400198,9.940114465780763,0.12463602288132,2.5859978912588955
13,383,-417.25324799999976,0.2360991612728947,0.16355037065331166,2.033825866645436,0.7649956794010974,0.23363583570783233,0.9770808525651857,39.05120330796301,9.987101015377114,0.09869112634030429,2.6537333797770817
14,393,-388.4532479999998,0.2703407008104085,0.17155430578111577,2.0337602669946837,0.7237796786736768,1.0324613593393859,0.36720135604528187,-25.007448582798187,7.558867427176917,0.42989430666209805,1.8051342458446507
15,404,-356.77324799999997,0.27944154241833796,0.17653538557331086,2.068420247354746,0.630074155662294,1.097227854779782,0.4809167570071169,-19.21353013409788,8.003481694176614,0.3073298958659466,2.3413405191998065
16,414,-327.9732479999998,0.2947157419381115,0.17819972090685146,2.1135266734196576,0.68810249816853,1.0582299959004422,0.6055208269776573,-19.31279063626019,7.870674974227253,0.2762816688661855,2.37831746168643
17,424,-299.17324799999983,0.2831238888482198,0.18566144234890553,2.015280443923141,0.7026149477959848,0.8614545085896089,0.5290603362698958,-35.0920821826425,9.947703617917249,0.9677355202969612,4.76732173271599
18,435,-267.49324799999977,0.28325421889219743,0.1843535882270892,2.069062368809279,0.579853113449313,1.0878030453373482,0.49309829330492383,-38.14322166665626,9.92274336695494,0.932942521957728,2.129215170333803
19,445,-238.6932479999998,0.2866749264155854,0.188379650104653,2.015773370817073,0.7115880980854725,0.9511950283273081,0.5358069765032301,-31.86561615289338,9.986005420640495,0.9578772959844839,3.363951202844657
20,456,-207.01324799999998,0.2939407863536237,0.18380122980353295,2.0231441402524974,0.6960806111801441,1.1275488231988957,0.49300459400322255,-39.367283990107914,7.3217006578379085,0.4118547721571937,1.8746789404118351
21,466,-178.2132479999998,0.2938362937364995,0.1883813235415683,2.0781663872348672,0.6854932125705426,1.0401285245463492,0.6947564559918213,-32.54935519611595,7.724571979832003,0.34308667540633386,2.3751785342340073
22,476,-149.41324799999984,0.3088282862333687,0.1847097742651205,2.198515846067628,0.6249306770023909,0.9969431420293194,0.7232740682374398,-22.52861989708084,7.651890447402291,0.31064297036052807,2.3533408103392275
23,487,-117.73324799999978,0.28847547282476893,0.19125992625562785,2.0172195897442142,0.5931188692151678,0.9808869732617285,0.5148033113788606,-31.860820559150827,9.950523039489681,0.9684494479592308,4.709456092893129
24,497,-88.93324799999982,0.31147217314102893,0.18648190237996104,2.3031766266231606,0.7096572033395346,1.0662334081936617,0.48260352921202754,-36.364275421320485,9.917395118615055,0.931265808495109,2.3439977652064914
25,508,-57.253247999999985,0.29642394210363526,0.18922339335394658,2.020266802150738,0.6218920828830709,0.9152713149272107,0.5986594876134325,-30.27221572374144,9.986007943993094,0.9578937163312067,2.116623527977791
26,518,-28.453247999999803,0.3035012814141956,0.18712026522299402,2.034246812508373,0.6292574748498735,0.8440757434225443,0.8422195187800572,-38.65044871728593,7.421379808133075,0.3168302388681087,2.2658181532626656
27,529,3.226752000000033,0.30036604220484947,0.1868160225829625,2.0796070524523893,0.6311515670673391,0.9755447838006288,0.777578211230578,-30.00824005390133,7.216337018721969,0.3417876129981873,2.1682717648398797
28,539,32.026752000000215,0.28692091581505824,0.19518322052626808,2.2394153013053884,0.734393091731745,0.9184338295600338,0.7545542437423939,-29.526791668989276,6.842333150511557,0.3271265335793125,2.050223119390937
29,549,60.82675200000017,0.29142323044800655,0.19307142279675862,2.014886648014288,0.5810890279879253,0.9656746427396717,0.5694556817466825,-38.53311483287759,9.954320878963099,0.9733753848595843,4.229473641856882
30,560,92.506752,0.2932704309781815,0.1909093621342041,2.0101798773943784,0.674490455211183,0.7617657765508229,0.6425797233356714,-39.878478706863554,9.896460689013548,0.9337273423405626,1.4666344995320435
31,570,121.30675200000019,0.29037103305329115,0.19124904579145244,2.018560586743779,0.6175000947150854,0.9546594540158506,0.6436237791359045,-30.421108920443103,9.985622466207772,0.9573431894252282,1.4545722191600998
32,581,152.98675200000002,0.3050138070765622,0.18422915459334396,2.0569861763840596,0.6283004610078324,0.8900513932202233,0.6844262244127551,-32.60489272531527,7.113298392103605,0.4454850024821969,1.009983377458237
33,591,181.7867520000002,0.2895921184129311,0.18957272240624512,2.1025776491813715,0.5674679218827896,1.0174322710955757,0.5745723894412044,-31.65612241809397,6.742866799442044,0.3798523117754181,1.0036935667614078
34,601,210.58675200000016,0.3614787606987651,0.16797703098858077,3.4279708778502647,0.6846146619280142,1.0391260819127757,0.5437115445727492,-39.171678708430484,6.392804054702836,0.2915680084491899,1.001196940890723
35,612,242.266752,0.2891543863635476,0.18717287672446042,2.0201516809582545,0.7158698194411118,0.8625885695449098,0.5229286964723262,-29.48147497440855,9.959600045115362,0.9772861904832204,1.728966130439575
36,622,271.0667520000002,0.3015139938505074,0.18229202780994902,2.0108063795298077,0.6350644423134443,0.9508607824738866,0.4418737526407593,-39.87147139934951,9.897819213800958,0.9324696379823946,1.3398574652727686
37,633,302.746752,0.2902514080675715,0.18515278709767877,2.0180693829979917,0.7294866884582536,0.8844021347301846,0.4867925782369849,-20.234339187421565,9.985582661567072,0.9569717241573912,1.370704794482004
38,643,331.5467520000002,0.27786244923979575,0.18932347797353782,2.0621774290821318,0.6706887528159939,1.0196716191749875,0.6617293156531248,-18.865316753620526,7.3915352170777595,0.38464469862588796,1.0099225885979264
39,654,363.22675200000003,0.27550188569054807,0.19084143719399713,2.1242597507124494,0.634900935517905,0.9596270408323915,0.6600290618200814,-28.36558040817259,6.83078264600864,0.3403608750648457,1.003688176202102
40,664,392.026752,0.39717626494364333,0.15601482017128418,4.236658303557093,0.6355829271105651,0.9829895069324648,0.6252206369422708,-39.093824640761895,6.956462615376932,0.29684973915360446,1.001195460763137
41,674,420.82675200000017,0.2952918395260439,0.1857753020083117,2.0203373784183114,0.6834992010466837,0.9217298759775854,0.5019724831402316,-28.5550748522116,9.959476857785369,0.9773418860071962,1.6971031849308935
42,685,452.506752,0.2598452911258041,0.18884790699132054,2.0103350715084143,0.6302528519277594,0.9743467399164488,0.49171049023253427,-39.8738244658469,9.881224958121177,0.9332790623336034,1.3174013712343566
43,695,481.3067520000002,0.30337721156786424,0.1738014775127147,2.015046304095559,0.6005373685306648,0.910838618997499,0.2486121188117504,-39.437969146300915,9.98412275495371,0.9526881401304184,1.8492706478500247
44,706,512.986752,0.26703706496872937,0.17808136856667187,2.001528638451375,0.6966805615052067,0.9877713711100669,2.215190525055091,-39.956050014849374,4.859000378984778,0.045539929458442666,1.0015255769615157
45,716,541.7867520000002,0.27227528366154546,0.1632010196395376,2.0218856497117477,0.6215623935635854,0.6599308510893693,1.6949319000012935,-34.43843082484436,4.864816069102616,0.058870948556109505,1.0031043713718457
46,726,570.5867519999999,0.2672915667184,0.15588907606339372,2.0009492997970963,0.6467869056576514,0.8527582281337608,1.9278466231586628,-38.853901954114555,4.88339003435793,0.05190178869757563,1.0008849741038308
47,737,602.2667520000002,0.28020279119749053,0.148165127616394,2.016404722832627,0.5599200470626692,0.7900453658725411,0.3289257850173181,-39.2655151594077,9.957514360652706,0.977280695095206,1.7173607952590377
