,initial_losses,losses,initial_reduced_losses,reduced_losses
0,173.2745929825384,173.2745929825384,157.52235725685307,157.52235725685307
1,153.21938018353538,153.21938018353538,139.2903456213958,139.2903456213958
2,145.10906130743064,145.10906130743064,131.91732846130057,131.91732846130057
3,223.50214346714807,223.50214346714807,203.1837667883164,203.1837667883164
4,159.12226731995978,159.12226731995978,144.65660665450886,144.65660665450886
5,674.3154728376128,674.3154728376128,613.0140662160115,613.0140662160115
6,266.05600974321385,266.05600974321385,241.86909976655804,241.86909976655804
7,305.03261305266784,305.03261305266784,277.30237550242526,277.30237550242526
8,94.01767045917077,94.01767045917077,85.47060950833706,85.47060950833706
9,45.68383434029948,45.68383434029948,41.53075849118134,41.53075849118134
10,37.171208887412604,37.171208887412604,33.792008079466,33.792008079466
11,102.030847304903,102.030847304903,92.75531573173,92.75531573173
12,2213.8772992081067,2213.8772992081067,2012.615726552824,2012.615726552824
13,5808.617464253452,5808.617464253452,5280.561331139502,5280.561331139502
14,24.60316346076372,24.60316346076372,22.366512237057925,22.366512237057925
15,15.82763194852759,15.82763194852759,14.388756316843262,14.388756316843262
16,10.736235008476172,10.736235008476172,9.760213644069246,9.760213644069246
17,13.012617884424174,13.012617884424174,11.829652622203794,11.829652622203794
18,14.463314727810367,14.463314727810367,13.148467934373059,13.148467934373059
19,8.483650761876271,8.483650761876271,7.712409783523882,7.712409783523882
20,5.2697820087062475,5.2697820087062475,4.790710917005679,4.790710917005679
21,5.019493413608718,5.019493413608718,4.563175830553379,4.563175830553379
22,4.0930344818774245,4.0930344818774245,3.7209404380703854,3.7209404380703854
23,11.708863329849246,11.708863329849246,10.644421208953858,10.644421208953858
24,9.751251518785024,9.751251518785024,8.864774107986385,8.864774107986385
25,6.794945512116903,6.794945512116903,6.177223192833548,6.177223192833548
26,3.8210235633940233,3.8210235633940233,3.4736577849036574,3.4736577849036574
27,3.6352142058555783,3.6352142058555783,3.3047401871414346,3.3047401871414346
28,3.9474695147107393,3.9474695147107393,3.5886086497370355,3.5886086497370355
29,14.242353283775342,14.242353283775342,12.94759389434122,12.94759389434122
30,11.244368575344216,11.244368575344216,10.222153250312923,10.222153250312923
31,11.609167565220794,11.609167565220794,10.553788695655266,10.553788695655266
32,2.0335636624136626,2.0335636624136626,1.8486942385578748,1.8486942385578748
33,3.2885626267309847,3.2885626267309847,2.9896023879372584,2.9896023879372584
34,11.075214893261869,11.075214893261869,10.068377175692607,10.068377175692607
35,13.65110859229508,13.65110859229508,12.410098720268254,12.410098720268254
36,11.545812816051754,11.545812816051754,10.496193469137957,10.496193469137957
37,10.832040853522953,10.832040853522953,9.847309866839048,9.847309866839048
38,3.6500769427821154,3.6500769427821154,3.318251766165559,3.318251766165559
39,5.825673520962581,5.825673520962581,5.296066837238709,5.296066837238709
40,9.607280441283258,9.607280441283258,8.733891310257507,8.733891310257507
41,6.466003276763279,6.466003276763279,5.878184797057526,5.878184797057526
42,11.201787984382156,11.201787984382156,10.183443622165596,10.183443622165596
43,81.06782540712759,81.06782540712759,73.69802309738871,73.69802309738871
44,2118.9521291905357,2118.9521291905357,1926.3201174459414,1926.3201174459414
45,3517.786424924545,3517.786424924545,3197.9876590223134,3197.9876590223134
46,1139.4622123949453,1139.4622123949453,1035.8747385408592,1035.8747385408592
47,15.765758910616723,15.765758910616723,14.332508100560656,14.332508100560656
