,lineout pixel,Radius (\mum),Te_electron,ne_electron,m_electron,amp1_general,amp2_general
0,329,-960.7845338550003,0.04851653310121245,0.0749534974669355,2.135825910824168,0.26313293367552926,0.5715073009702263
1,333,-940.2645338550001,1.543732740773315,0.04696002350740366,2.1124304414477604,0.20717537627136162,0.20623940722967157
2,337,-919.7445338550001,0.15430383921025195,0.36501943156516026,2.136402390826093,0.23670200673460237,0.3840422486806495
3,341,-899.2245338550001,0.3837158606249579,0.03992923749741218,2.1240237684933883,0.26350067059745397,0.19573493910524295
4,345,-878.7045338550001,0.1407659893407735,0.06235699042399515,2.000212884257903,0.7255434263122438,0.7471823117913818
5,349,-858.1845338550002,0.1464657873432742,0.06423389792592493,2.0001646907075616,0.6360718612526277,0.7805111027637615
6,353,-837.6645338550002,0.1609198371905665,0.0611798284872395,2.000470260951742,0.6532111956434069,0.8761692671561627
7,356,-822.2745338550003,0.16508663791191036,0.06576309770140026,2.0002313393528666,0.644495327627501,0.8380179606538531
8,360,-801.7545338550001,0.16858242627573525,0.0676389205758556,2.0000591933493865,0.5252995624226927,0.9194343380125428
9,364,-781.2345338550001,0.1598612472582081,0.07522212709972803,2.000002975134476,0.7295563807480016,0.9673070515736282
10,368,-760.7145338550001,0.15548994651873335,0.07999592005161067,2.0000679592506865,0.7531659369210678,0.7586039350697071
11,372,-740.1945338550001,0.16041203110617774,0.08420465306334529,2.0000000024428237,0.7521686126888057,0.9107942729558485
12,376,-719.6745338550002,0.17736307728234857,0.08944627081314438,2.0000437157138573,0.7349260906143136,0.7947146325112999
13,380,-699.1545338550002,0.18146292289346527,0.09383022775247084,2.0000000019277797,0.7112963826629707,0.7812308736521737
14,384,-678.6345338550002,0.18506688656166448,0.10072793862238726,2.0000546396423133,0.7448701533103865,0.7672407185619315
15,388,-658.1145338550002,0.20572670639183,0.10095399219040642,2.0000008213756266,0.7239084751922361,0.6931267870445424
16,392,-637.5945338550002,0.19204107348715052,0.11039072253878891,2.0000255158806257,0.777778315583741,0.8967723724096223
17,395,-622.2045338550001,0.20278582431210757,0.11092504016166883,2.0000488431061996,0.7031341459047346,0.6953555066688808
18,399,-601.6845338550002,0.22689862402273017,0.11516946012469109,2.0000000088087018,0.6711567133438617,0.8171518029373941
19,403,-581.1645338550002,0.23543663991902816,0.11724329327303827,2.000044061809892,0.6519746452221549,0.7230439048693645
