,lineout pixel,Radius (\mum),Te_electron,ne_electron,amp1_general,amp2_general
0,349,-998.3492999999999,0.04229521698113208,0.07240804344780766,0.34119234380578495,0.4190737561250248
1,358,-952.1792999999998,0.17325117617573585,0.03972714619871228,0.2810312597940946,0.62869766651512
2,368,-900.8792999999998,0.017152424557047234,0.03586506910814586,0.24419114107759243,0.24146499451752276
3,378,-849.5792999999999,0.2719769220278608,0.05082088522519279,0.3289491792675664,0.591039613333543
4,388,-798.2792999999999,0.15839766189950485,0.06841355499201068,0.27746751698424954,1.0661266331943557
5,397,-752.1092999999998,0.16579102147240088,0.07999434672139114,0.20264309360258864,1.1281086417099926
6,407,-700.8092999999999,0.1711109520984754,0.08836265926377383,0.12215677702004792,1.2135680391511448
7,417,-649.5092999999997,0.16899114849486013,0.10233318900418645,0.14856732615892482,1.1979107561417484
8,427,-598.2093,0.1896707872140034,0.1045918261999252,0.08920635074220128,1.282250974544578
9,436,-552.0392999999999,0.17994491763324447,0.11533105656564444,0.015742692874912922,1.2447972390957234
10,446,-500.73929999999973,0.18012397556414272,0.11513535818389188,0.0483842748695866,1.2448716643311515
11,456,-449.4393,0.18306970089951238,0.12092864398521218,0.05823121975768616,1.219159389291251
12,466,-398.1392999999998,0.09712064630476319,0.15417983952974829,0.16256863196477084,1.4400500758264212
13,475,-351.96929999999975,0.1816190287084102,0.1289868875501113,0.19566091219500767,1.529485269113802
14,485,-300.6693,0.19492986805701296,0.12522270023061952,0.06786497309592303,1.2476043426781647
15,495,-249.36929999999984,0.20573350503992183,0.12293101399318296,0.060528344404480634,1.2468225448151513
