,lineout pixel,Radius (\mum),Te_electron,ne_electron,amp1_general,amp2_general
0,349,-998.3492999999999,0.09434289021475953,0.15147758296593222,0.010001866961783453,0.010029831003290857
1,358,-952.1792999999998,0.30199601641614054,0.030000000023463567,0.23816298208970507,0.48183392719923895
2,368,-900.8792999999998,0.09347277636835821,0.14952672736000305,0.010001866962748147,0.010029831285568615
3,378,-849.5792999999999,0.6223729925815992,0.030000000023463567,0.25567837676802924,0.4166615907721105
4,388,-798.2792999999999,1.9769078408993856,0.06830374169146503,0.01000186744905603,0.01002997768446927
5,397,-752.1092999999998,1.9999999999999902,0.03000000002346357,0.11125649857009803,0.2947839397392596
6,407,-700.8092999999999,1.976911003017117,0.06868669041435135,0.010001867548274219,0.010030027776014727
7,417,-649.5092999999997,1.9999999999999902,0.03000000002346357,0.09782182847285446,0.20137957990190497
8,427,-598.2093,1.9769192848969916,0.07010288411639312,0.010001867690070484,0.010030115628044635
9,436,-552.0392999999999,1.9999999999999902,0.03000000002346357,0.049480878292798514,0.1973353691371447
10,446,-500.73929999999973,1.9770015913513506,0.08572781201114688,0.010001869058071208,0.01003073987557086
11,456,-449.4393,1.9999999999999902,0.03000000002346357,0.06601392084842746,0.1696721200736059
12,466,-398.1392999999998,1.9770135895061725,0.08497257957890914,0.010001869196213735,0.010030840396724137
13,475,-351.96929999999975,1.9999999999999902,0.03000000002346357,0.05716519073808213,0.23288506029612172
14,485,-300.6693,1.9770374505397523,0.0848329956571695,0.01000186951776903,0.010031010530336913
15,495,-249.36929999999984,1.9999999999999902,0.03000000002346357,0.07131598858756132,0.24598386168894276
