Year,File,ROI,Mean,Std
2015,EPWROSS_2w_527cw_150um.hdf,1,657.0401594507451,19.109350965514697
2015,EPWROSS_2w_527cw_150um.hdf,2,657.140289385457,18.281331653987756
2015,EPWROSS_2w_527cw_150um.hdf,3,660.2248623804179,23.29869450016081
2015,EPWROSS_2w_527cw_150um.hdf,4,658.372509718173,22.374810179793286
2015,EPW_2wFiber_200umPH_CCD.hdf,1,604.2594844318966,5.872710126584917
2015,EPW_2wFiber_200umPH_CCD.hdf,2,604.241758770593,5.810139339258831
2015,EPW_2wFiber_200umPH_CCD.hdf,3,604.2275025386136,5.804673253970268
2015,EPW_2wFiber_200umPH_CCD.hdf,4,605.6656189261419,5.884981846480304
2015,IAWROSS_2w_532cw_150um.hdf,1,630.567381574937,28.536470100964355
2015,IAWROSS_2w_532cw_150um.hdf,2,630.6195479555334,28.34314352593527
2015,IAWROSS_2w_532cw_150um.hdf,3,636.3561755117311,28.239080140031632
2015,IAWROSS_2w_532cw_150um.hdf,4,632.5667972546162,25.52925747267961
2015,IAW_2wFiber_200umPH_CCD.hdf,1,605.579733393221,6.116841499870279
2015,IAW_2wFiber_200umPH_CCD.hdf,2,605.5659298352556,6.113102455361911
2015,IAW_2wFiber_200umPH_CCD.hdf,3,605.6450002672225,6.199741003307862
2015,IAW_2wFiber_200umPH_CCD.hdf,4,605.8919916180758,6.120237900532416
