,lineout pixel,Radius (\mum),Te_electron,lam_general,amp3_general,ud_general,Ti_ion-1
0,209,-901.27584,0.10736782352302586,526.3713041401024,1.0610309004670446,-19.99846660659969,0.08308985594489161
1,244,-800.47584,0.09055431081164665,526.3757081356107,1.0537979148295353,27.06784901748845,0.12433037200105537
2,279,-699.67584,0.10466310026386845,526.374892416319,0.9788167366092894,16.921632727214103,0.11975278685807546
3,314,-598.87584,0.12849084455616522,526.372288689289,0.9993705738843426,33.26380426561149,0.1746330696533657
4,348,-500.95583999999997,0.11077628982524883,526.3598786343254,0.8684261286282755,39.999234454023615,0.21171541040006697
5,383,-400.1558399999999,0.11235869199732233,526.341161494622,1.0727049090806777,39.999999902079765,0.11730200204275604
6,418,-299.35583999999994,0.01203040688695341,526.4414289584972,0.6659061604628157,39.82956416155806,0.6158590726683216
7,452,-201.4358400000001,0.02440818808911327,526.3943062208547,0.33968403441529255,-0.33267610066782183,0.9873913074010017
8,487,-100.63583999999992,0.09055530716039237,526.4073507381755,0.3346963722915848,14.72697447429649,0.4674809516442162
9,522,0.16416000000003805,0.057019955363120295,526.404967571935,0.3482315431137338,11.3665703813238,0.5958577728732813
10,557,100.96415999999999,0.010000000000047112,526.3877907452516,0.3705816170740937,26.37969462607714,0.9996605784053049
11,591,198.88416000000007,0.010000000000000477,526.3938212423978,0.4730792468584634,-19.448482202373313,0.2580001971121686
12,626,299.68416,0.010086849041420843,526.3826721878546,0.540021206349975,7.406807931062229,0.19453777186091625
13,661,400.48416,0.2214227428867847,526.2481028795598,2.907553666169917,33.61541165063919,0.060630841028350826
14,696,501.28415999999993,0.19951631164120254,526.3584804159634,0.8467596781627722,8.065946147313841,0.10342547841746805
15,730,599.2041599999998,0.22252318956157321,526.3551292492089,0.8548599111277204,8.915531546810762,0.09751950217036806
