,lineout pixel,Radius (\mum),amp1_general,amp2_general,amp3_general,ud_general,Va_general,Te_electron,ne_electron,Z_ion-1
0,242,-816.265724350804,0.8593835687598748,1.016942682651105,1.1424845903615355,17.853139459589215,1.2751918764673817,0.16052820823654523,0.07539336340965196,3.980407215493575
1,249,-796.1057243508039,0.8309351203396365,1.103915163376542,1.1777629005984764,17.96930680203574,0.8953179495588799,0.176869345510858,0.07989651944786523,3.4756773548039
2,256,-775.945724350804,0.7440091072464277,0.946888398532877,1.1945647409597862,19.4167995568935,0.7333240739943285,0.1657080976914601,0.0835920745180592,3.819899144696558
3,263,-755.785724350804,0.6718335304293441,1.171916601994982,1.1859499058384564,19.68568858978228,0.42916713563180764,0.19118878598347006,0.09457257056468855,3.180458840521376
4,270,-735.6257243508039,0.8664563853615076,0.8464439114474184,1.3440388038786457,-18.93070154939374,10.023505439444477,0.20578657625955227,0.09079936173379653,4.640347002910825
5,277,-715.465724350804,0.8100579854560408,1.1033520204494836,1.1534269737186966,19.981493421814413,0.146869912920625,0.1912809970066197,0.0988405187886188,2.739016637091475
6,284,-695.305724350804,0.8052399815125769,1.157451831413723,1.19173362543671,19.998202348493166,0.3550479587115447,0.20226395182088913,0.10163392808198547,2.6928350908471623
7,291,-675.145724350804,0.8532778510229505,1.094640982865733,1.2289669727087997,19.997441285710472,0.2667209606343448,0.21713055603987594,0.10403522312005811,2.6591368148972983
8,298,-654.9857243508039,0.850179069789416,0.8428983789637433,1.253795491047922,19.715634385736443,0.42663066639732605,0.20414759158782167,0.10708660659956676,2.7600570878369197
9,305,-634.825724350804,0.921996280238312,1.172800774730415,1.2722642102120238,19.786577069636706,0.35552019524679324,0.20959908304256586,0.11052861811855842,2.833902529756874
10,312,-614.665724350804,0.8672248885579535,0.9727953731345323,3.7247284674471652,-3.265418386286168,9.811451750481872,0.2067880397057115,0.11843299940217084,5.142724615017695
11,319,-594.505724350804,0.7865040208215274,1.0668763437681164,1.3743729295005094,19.977698363386132,0.2903499910418681,0.22270614517714193,0.11679976499898106,2.7291237864756557
12,326,-574.345724350804,0.8616129632115344,1.1704321909631128,1.3007787362371384,19.998202161604254,0.2916430223976043,0.22136352854667127,0.12312529445953993,2.86748784051273
13,333,-554.185724350804,0.7869212640060121,1.0366033193368998,1.3466654090455072,19.99744072890585,0.3380115444781495,0.23699486681324802,0.12303047556860178,2.74516459071116
14,340,-534.025724350804,0.7422441373335404,1.182348732795207,1.3967216772059317,19.70363477336508,0.11070035257700184,0.2523691016754603,0.1295781659974437,2.545771608990153
15,347,-513.8657243508039,0.728114039210405,1.278593840356618,1.420461546130333,19.78105251455291,0.2342488912242331,0.2356369649865942,0.1350406864006664,2.7985368444104073
16,354,-493.70572435080396,0.8947854404718681,0.9827106173763116,3.7248909400655545,-3.8643860394349936,9.796417271798049,0.22023045973512378,0.14113521822051822,4.656420039816105
