,lineout pixel,Radius (\mum),amp1_general,amp2_general,Te_electron,ne_electron
0,368,-900.9000903509998,0.9148687642888005,0.0479938405613712,0.2695947406678761,0.14296627045946067
1,369,-895.7700903509999,0.9933914003400659,0.14401724538720254,0.2645417640204647,0.14576592627036358
2,370,-890.6400903509998,0.8845022464024452,0.12994206324804117,0.25942545656818655,0.14448832254359056
3,371,-885.5100903509999,0.8421032023539331,0.14298470330038315,0.25939788862783975,0.14104067707269632
4,372,-880.3800903509998,0.868783172621856,0.15076621427627357,0.25044806224297034,0.14212041851481202
5,373,-875.2500903509999,0.8515508170517739,0.09976625065058917,0.24536390291941568,0.14558714588633812
6,374,-870.1200903509998,0.811922844174322,0.06133996868023874,0.23948263606516912,0.1501636818363996
7,375,-864.9900903509999,0.7835240598189397,0.04849917972998708,0.2426151533689131,0.1516606039546167
8,376,-859.8600903509998,0.8074138018801937,0.09809207374764344,0.25924400602170516,0.15121353918027608
9,377,-854.730090351,0.8932705980786289,0.13988317721813878,0.26327497180982085,0.15286388464022116
10,378,-849.6000903509998,0.8288354498786137,0.15314544249788556,0.2608569695286266,0.15467028066891966
11,379,-844.470090351,0.8758233126530915,0.1343155752768359,0.25021874590111726,0.15827630252848066
12,380,-839.3400903509998,0.8640584635417848,0.10963729784903366,0.2564436075409643,0.15772460757417067
13,381,-834.210090351,0.8904926461663418,0.12791105408816678,0.2720844854261162,0.15379927644890073
14,382,-829.0800903509999,0.9195999232051509,0.12660093067140218,0.2858709275365159,0.1512593439616879
15,383,-823.9500903509997,0.9273996690809283,0.18998333664737702,0.30414737780457063,0.14967509779417393
16,384,-818.8200903509999,0.8437234668346927,0.2462197833321838,0.32181429751149415,0.1470396544247126
17,385,-813.6900903509998,0.7844173885308819,0.2336328815171847,0.31909006786641253,0.151643405844808
18,386,-808.5600903509999,0.7513655025970777,0.2227278392910439,0.30585941738503797,0.15751970357094186
19,387,-803.4300903509998,0.8395694756400671,0.1770931384098377,0.29079476320322795,0.16125824950499243
