,lineout pixel,Radius (\mum),amp1_general,amp2_general,Te_electron,ne_electron
0,388,-798.3000903509999,0.9035639802395735,0.2309425192750732,0.34174246398815683,0.14467667804061698
1,390,-788.0400903509999,0.7691629969139397,0.3302977898181979,0.3646034932046267,0.13611804553554535
2,392,-777.7800903509999,0.22805979613658528,0.482074329800106,0.9615809084436485,0.030002088259322927
3,394,-767.5200903509999,0.6313690103759368,0.5411314589883937,0.44887153370273686,0.13535370613924808
4,395,-762.3900903509998,0.7651955594983567,0.43916682260514944,0.3986856212030323,0.1472542363406409
5,397,-752.1300903509998,0.8838952846095712,0.2918504388737653,0.3440480226043292,0.16379093768468506
6,399,-741.8700903509998,0.7686517476961388,0.4289317664962856,0.3834405605304415,0.15527538367611773
7,401,-731.610090351,0.7664560905239527,0.6214021362918253,0.42229680372879175,0.15674305672803895
8,403,-721.3500903509998,0.8815470237516642,0.6599741775629177,0.3868320943153207,0.16960821184358185
9,405,-711.0900903510001,0.8952532973638813,1.2883094877642647,0.3599555948857108,0.18259641646084876
