,lineout pixel,Time (ps),Te_electron,Ti_ion-1,lam_general,amp3_general,ud_general
0,561,600,0.29851365011469816,0.12583585022016833,526.407407043237,1.3425509140699357,-4.379201550624682
1,571,650,0.3281254923326119,0.1383019864443625,526.3933043107049,1.3521637771300208,-3.565555554919637
2,581,700,0.4465170192807842,0.18356497561321064,526.3632710717798,1.342438961139939,-2.9304222861236937
3,591,750,0.4273266042760717,0.1760987250501613,526.3698523532963,1.326508899048794,-3.1924844991393684
4,601,800,0.4288216301118852,0.17722198731624864,526.3613699801996,1.3703690888946258,-3.5984904960836452
5,611,850,0.3747166674833959,0.15648653373894514,526.3579954191016,1.3334204375989798,-3.1497808309471083
6,621,900,0.37388178780964254,0.1571304236737754,526.3615093694307,1.3856950803569952,-3.049911718076391
7,631,950,0.34060833439219546,0.14445859368245836,526.3558449219123,1.4004652970804712,-2.6187595164736592
8,641,1000,0.25045209001386715,0.10950392347007393,526.4082337331158,1.3617204760103319,-1.828421865459763
9,651,1050,0.26666206979929863,0.11513398981503321,526.3357430941763,1.4084259949150884,-2.233057814403871
10,661,1100,0.18858052129472075,0.08373431466841438,526.3437197182907,1.4235402740546879,-1.4341260460282648
11,671,1150,0.18499110142029462,0.08203171115799185,526.3040141829931,1.3563405658092151,-1.6983650551959713
12,681,1200,0.12364548203616726,0.05573379006542342,526.340409720611,1.3552842794879658,-0.9309551626849526
13,691,1250,0.1978631686110775,0.0878162450373448,526.2840562239376,1.3105032395894811,-1.2471340129301929
14,701,1300,0.15776495206206748,0.07121925927778859,526.2957822361864,1.365455233878544,-0.12834042331466122
15,711,1350,0.30092883100382756,0.1324510626688797,526.3662795855724,1.0936801439244088,0.5119284344390742
16,721,1400,0.5299206784974602,0.12269083904383754,526.722608027995,0.9749957634423998,3.19305682291769
17,731,1450,0.4647160494792756,0.11635281474654982,526.4194260451475,0.9457031553205594,0.7135173703482813
