,lineout pixel,Radius (\mum),amp1_general,amp2_general,Te_electron,ne_electron,Z_ion-1
0,368,-900.9000903509998,0.9147753371913405,0.04413843859272701,0.2695754990370207,0.1429493860962607,5.062185023934997
1,373,-875.2500903509999,0.8525383578307716,0.09747157355706172,0.24525178951544865,0.14561214684989168,5.05626802837194
2,378,-849.6000903509998,0.8293355822878432,0.15226947328235582,0.2607998636322865,0.15468293760632004,5.052233172913567
3,383,-823.9500903509997,0.926423111124101,0.18784585467241158,0.3042262789692649,0.14964957849098848,5.052694183546981
4,388,-798.3000903509999,0.9156686806717622,0.16586997236866163,0.2886672590836403,0.16165579406342118,5.0489775727731026
5,393,-772.6500903509998,0.31297673272372317,0.7109521859631471,1.0316637268101565,0.010046281817661665,5.053609481381415
6,397,-752.1300903509998,0.844055988271018,0.6488657696548424,0.29880796998808035,0.18747131337491588,5.059727373036281
7,402,-726.480090351,0.3062860980611814,0.36502511624103073,0.06621741213310893,0.20106825836536382,5.058820343056212
8,407,-700.8300903509999,0.28322007555087064,0.4249217327857261,0.14129332492745997,0.1395986641932103,5.059699416851716
9,412,-675.1800903509998,0.19749872815535469,1.143402529402895,0.16419971220941065,0.07680306707464193,5.0594987723245115
10,417,-649.5300903509997,0.22535077218301874,0.9402290847243471,0.1629206602862538,0.07812357005196996,5.059490319240157
11,422,-623.880090351,0.15993260444734672,1.1776626230498688,0.1623497702919078,0.08742213951443299,5.059525323572876
