,lineout pixel,Radius (\mum),amp3_general,ud_general,Va_general,Te_electron,Ti_ion-1,Z_ion-1
0,233,-849.2533862399999,0.9998213270790263,19.99999999998814,9.111193122587927,0.06380146818816504,0.11136699867314731,6.799683511813853
1,250,-800.2933862399999,0.9636122504725552,19.99999999998814,8.795709952291496,0.06570958991819895,0.11259774765904271,6.800377363298004
2,268,-748.4533862399999,1.023746715722534,19.99999999998814,8.523731753157339,0.07387934285430103,0.13429532086480112,6.999152003013494
3,285,-699.49338624,1.0676712867542744,19.99999999998814,8.758637689453483,0.07719341767797855,0.14914004413423484,6.999152008493054
4,302,-650.5333862399999,1.0313120236750644,19.99999999998814,8.848711670690324,0.09307381931302215,0.16073718775955984,6.999152038980937
5,320,-598.6933862399999,1.0383160748683693,19.99999999998814,9.151527637505914,0.0954272915632716,0.18764190531916508,6.999152034368658
6,337,-549.73338624,0.9693066636670141,19.99999999998814,9.138202721317853,0.09775488509964889,0.22031509207771685,6.999152099988462
7,355,-497.8933862399999,0.50627765489276,19.99999999998814,9.252216838547305,0.08368631785197021,0.2416250656412512,6.999152271007512
8,372,-448.9333862399999,1.0041244473371869,19.99999999998814,9.999997019213566,0.0855917360131741,0.13333310494733255,6.999159595342493
9,389,-399.97338623999985,0.5709082731591705,19.99999999998814,9.999997019208745,0.11549294632683767,0.3514967489026205,6.999159833040339
10,407,-348.13338623999994,0.42624481245982265,19.99999999998814,9.999997019204603,0.11738910962194185,0.39402195470702056,6.999159891229865
11,424,-299.1733862399999,0.6519560589959627,19.99999999998814,9.999997019195352,0.11570570513552622,0.494616249228954,6.999159955431287
12,441,-250.21338623999986,0.6463566689742932,19.99999999998814,9.999997019184462,0.12706294547795155,0.5704351815893285,6.999160012644859
13,459,-198.37338623999995,0.4206770034385448,19.99999999998814,9.999997019168209,0.09850504901463575,0.6525664888863376,6.999160029704196
14,476,-149.4133862399999,0.5490727385529093,19.99999999998814,9.99999701916746,0.10045217151977762,0.6616983754408349,6.999160032667078
15,493,-100.45338623999987,0.6899210629219831,19.99999999998814,9.99999701915624,0.12446477219347461,0.5806162295520498,6.99916012182433
16,511,-48.613386239999954,0.6424738591008643,19.99999999998814,9.999997019155124,0.09289541888622395,0.5772238061842305,6.999160085426161
17,528,0.34661376000008204,0.6721847567051812,19.99999999998814,9.999997019151333,0.10288077881084122,0.5929645992383547,6.999160112224499
18,546,52.18661376,0.6402512754865818,19.99999999998814,9.999997019144317,0.08799695079389144,0.6376603305576204,6.999160112050501
19,563,101.14661376000004,0.6489265544005473,19.99999999998814,9.999997019144047,0.08802965022407219,0.6391195529380915,6.999160112906664
20,580,150.10661376000007,0.5744692950576663,19.99999999998814,9.999997019140167,0.06205883479639019,0.6352673701270904,6.999160075934297
21,598,201.94661376,0.536956077832566,19.99999999998814,9.999997019124748,0.03201867889058787,0.6747393838103196,6.999159982690765
22,615,250.90661376000003,0.676388763281593,19.99999999998814,9.999997019123267,0.03315167213684861,0.6798223316739374,6.999159992322501
23,632,299.86661376000006,0.6425486984763156,19.99999999998814,9.999997019085754,0.022125527724654356,0.6570385012708313,6.999159940140986
24,650,351.70661376,0.6688938418714552,19.99999999998814,9.999997019085374,0.022137335554993465,0.6576644091861974,6.999159940769044
25,667,400.66661376,0.6688938418714552,19.99999999998814,9.999997019085374,0.022137335554993465,0.6576644091861974,6.999159940769044
