,lineout pixel,Radius (\mum),amp1_general,amp2_general,Te_electron,ne_electron
0,388,-798.3000903509999,0.9031121378555478,0.23196072150906447,0.34183107584465194,0.1446488228346653
1,394,-767.5200903509999,0.6299697562195098,0.5428117843321878,0.4493444725086648,0.13533608096338928
2,399,-741.8700903509998,0.7676331953220642,0.4293477962980726,0.38362502508194246,0.1552282007384787
3,405,-711.0900903510001,0.916358540255515,1.519058377860661,0.35435933428402316,0.18531035080610392
4,411,-680.3100903509999,0.8444630409648021,0.8447189786917453,0.37248217228145986,0.1763707287291184
5,417,-649.5300903509997,0.9803372975150825,3.7299404813468024,0.3403654435590522,0.20223190531448568
6,423,-618.7500903509999,0.9245994864958236,3.737849986642913,0.3584212174552577,0.20088915524732626
7,429,-587.9700903509997,0.9563686557930606,3.7487856591901756,0.36824731480746,0.2098988969099795
8,434,-562.3200903510001,1.0259363396537777,3.7455888536918316,0.37911306717997956,0.20483020886616368
9,440,-531.5400903509999,0.9679062939339323,3.7490962997162343,0.3674408142185302,0.2059678876343787
10,446,-500.7600903509997,0.9993147385313027,3.5636846641721727,0.3590029213337132,0.21468854579200608
11,452,-469.98009035099994,0.9293956281174344,3.2359579702325187,0.38533960765260716,0.2077656336997761
12,458,-439.20009035099974,0.010001398117070954,0.8889223477135446,0.2109687984906171,0.08298423028531665
13,464,-408.420090351,0.9424382994988644,3.7499930718405587,0.3752653358478203,0.21012719417233622
14,470,-377.6400903509998,0.9170818145139339,3.7498113976376577,0.4057403846308749,0.21193835492941632
15,475,-351.9900903509997,0.7962228056522115,3.7389020132756583,0.392873119110626,0.210434701322581
16,481,-321.21009035099996,0.9952179384153298,3.7170795446720764,0.3689819325914189,0.21924705348096768
17,487,-290.43009035099976,0.9150295947603565,3.741735166669622,0.3780677081247666,0.22510671651836142
18,493,-259.650090351,0.4274245210578765,0.6058979536086879,0.11579234098332267,0.1332900787117048
19,499,-228.87009035099982,0.37781725006054623,0.5321538882859911,0.12613873641104786,0.18234753692724556
20,505,-198.09009035100007,0.4039089825076902,0.6252602391266128,0.1789715214861388,0.15593201912570595
21,510,-172.44009035099998,0.3806889254165687,0.4920316845504929,0.16469901136545279,0.21418144108851597
22,516,-141.66009035099978,0.36864064899672977,0.5977208053106059,0.06289212680736697,0.07633678721050956
23,522,-110.88009035100004,0.5384245899739565,0.713699601589399,0.37457593731685423,0.3026133347499713
24,528,-80.10009035099984,0.2390474145228457,0.5014112038376205,0.10824865318432836,0.15650473854171407
25,534,-49.32009035100009,0.16620335980757422,0.39718150852239575,0.03133550208757484,0.094016995646892
26,540,-18.54009035099989,0.12298609391250981,0.25901772858867217,0.044223442099761666,0.1005926896206859
27,546,12.23990964900031,0.22972132342662469,0.3380735464670254,0.8091398405024476,1.4956750585407808
28,551,37.88990964899995,0.1529191961101418,0.29606347601627614,0.1140432307964385,0.28063992314153163
29,557,68.66990964900015,0.12583157270765227,0.22141838642347467,0.025635996086021594,0.4038001893114972
