,lineout pixel,Time (ps),Te_species1,Ti_species2,amp3_general,ud_general,Va_general
0,360,1805,0.46208839035045485,0.0819761839691683,0.5629340410059057,4.992729845254404,0.414594506344117
1,365,1830,0.524597762973079,0.09295317530726938,0.8739959248161068,4.9912634474839335,-0.34816592935268065
2,370,1855,0.42988367235718383,0.05802166354055315,1.0777377979817462,5.004791917948381,-1.962869461854616
3,375,1880,0.43728026225763905,0.05801209596314648,0.9201519495383432,5.012879946585269,-1.5357412398499881
4,380,1905,0.5428243307041507,0.1016394286052598,1.05036224207451,5.005055099407141,-1.9755266803593863
5,385,1930,0.6070766018417233,0.12020323902798533,1.1704115887366338,4.991754133214235,-1.7767228487826037
6,390,1955,0.6283678631398458,0.11798869855874403,1.1259489917576029,5.004112435737715,-1.6896324074328684
7,395,1980,0.6435035252366305,0.12702143995761472,1.1469335453621272,5.009712514223854,-1.7319619706138356
8,400,2005,0.5683567701535741,0.3287884167888771,1.1531857440395816,5.356646685731146,-1.8565387975940584
9,405,2030,0.6543503101180956,0.33215570423416724,1.13913732459387,5.2162499230091015,-2.0608698017327476
10,410,2055,0.6783797856829347,0.367460234541938,1.1441833969658826,5.533886043765723,-1.9290939699845644
11,415,2080,0.7503119305508291,0.2332489584263359,0.9324372139947974,6.62004030797789,-1.8597308066209373
12,420,2105,0.5195218548991873,0.38760819273718355,1.111243326359576,5.375586447251051,-1.7497774276861633
13,425,2130,0.604578239318152,0.4350745814495393,1.051078710968443,5.249912442922902,-2.1203252459511654
14,430,2155,0.6337863640687732,0.4397094902351899,1.1741050078098285,5.552442774727469,-1.9131065296552685
15,435,2180,0.8052446185131714,0.2585045347707471,0.9442610774357502,6.621147295920736,-2.1866540368221834
16,440,2205,0.5314162178956414,0.3921676198285823,1.0734649253154922,5.35267774112115,-1.6512087647025586
17,445,2230,0.6042682888184335,0.4292584511740899,1.080607846561397,5.247406224825872,-1.8975755941639239
18,450,2255,0.6375835719408546,0.4418760910901011,1.1732315586539819,5.551675426323857,-1.7773481974402439
19,455,2280,0.8302006652907187,0.2695574569977939,0.9311380204467088,6.620078500835962,-1.572526917739897
20,460,2305,0.531606101313578,0.3918795797169076,1.0125555019330243,5.342551850366462,-1.6511640434163566
21,465,2330,0.6045045896373088,0.42878685591399646,1.0553953131852518,5.242088179121747,-1.8970329349187787
22,470,2355,0.6373790585583693,0.4420672724062826,1.0962291090016678,5.57399898161062,-1.7777441670718686
23,475,2380,0.8586420263186131,0.28456438001820944,0.7272398726046019,6.623441742891805,-1.6258925658618273
24,480,2405,0.5318559253786864,0.39154250704838633,0.653933855706851,5.314163739047572,-1.6506977886328378
25,485,2430,0.6042038705624717,0.4290375037723866,0.8790925678374837,5.229891394310718,-1.8963690256791388
26,490,2455,0.6374941293784508,0.44193314829553704,0.9582132574719209,5.629307669675625,-1.777660913550918
27,495,2480,0.9552008976622842,0.3312020279516426,1.0055637221130946,6.620320309764827,-1.9609685174625102
28,500,2505,0.531337004492783,0.39230737878780797,0.653920512368711,5.314119463112719,-1.6512723797118134
29,505,2530,0.6044924142457567,0.4288393555755457,0.8793349067906746,5.229883703294364,-1.8968251559110427
30,510,2555,0.6376601833964514,0.44167629438682865,0.9584869996462589,5.629387720438574,-1.7777325791604248
31,515,2580,0.9553414442499194,0.3312924238882995,1.0049519283316497,6.620310450448841,-1.9650509775299185
32,520,2605,0.5312768167833496,0.39238083856073025,0.6539558757165621,5.314112536025726,-1.6513691859361856
33,525,2630,0.6044726590514231,0.42882241426793677,0.8794097108394794,5.229881546299904,-1.8969870999713612
34,530,2655,0.6375729208323629,0.4418121734639266,0.9585385859373476,5.629396102262403,-1.7776577011384431
35,535,2680,0.9553612095464411,0.33130268807125063,1.0049854693926434,6.620309133702282,-1.9642232529887604
36,540,2705,0.5314221518218736,0.39215061710789334,0.7886095773425075,5.283111812715628,-1.6512715673528444
37,545,2730,0.6044634011170386,0.42884440574683236,1.0757802639263747,5.2191020796140215,-1.8970721385529254
38,550,2755,0.6376393370685816,0.44171342453797435,1.050731033490462,5.656698135365672,-1.777655237733411
39,555,2780,0.9847213914579066,0.34852288269153064,0.9548659364525907,6.617938371174357,-1.9273135370304317
40,560,2805,0.5314014826119515,0.3921894180743825,0.7886786313414337,5.28309920754703,-1.6512859564699567
41,565,2830,0.6045225078251657,0.4286876521734949,1.0757549670575315,5.21910199187646,-1.8973639492775518
42,570,2855,0.6374023904541866,0.4416469483086262,1.0507385012190595,5.6566947294622665,-1.7809607916706494
43,575,2880,0.9847034117247656,0.3485145983901726,0.9548682321149372,6.617938213370927,-1.9271268769877992
