,lineout pixel,Radius (\mum),amp3_general,ud_general,Va_general,Te_electron,Ti_ion-1,Z_ion-1
0,233,-849.2533862399999,3.7499999999913776,-7.574586044746647,2.7284942129153222,0.3532440311942211,0.11593761021614278,6.999947814830179
1,242,-823.33338624,3.7499999999913776,-7.099430453771154,2.6707692881228677,0.35300413170250117,0.11604838444987861,6.999947814984535
2,250,-800.2933862399999,3.7499999999913776,-7.746728059811673,2.5740655054396235,0.3468266395021389,0.1146536278356434,6.999947815154119
3,259,-774.37338624,3.7499999999913776,-7.7351603360430765,2.7770327371184464,0.3681356965318896,0.12041810184223976,6.999947815346944
4,268,-748.4533862399999,3.7499999999913776,-7.796489893691145,2.705710779376247,0.3629495953139714,0.11931006157436712,6.999947815430694
5,276,-725.4133862399999,3.7499999999913776,-6.199552315076183,2.6261364178276896,0.3980400002852353,0.1264711273838175,6.9999478156547195
6,285,-699.49338624,3.7499999999913776,-7.018800426773286,2.8239487983027978,0.3884342645634948,0.12533902726537405,6.999947815844577
7,294,-673.5733862399999,3.7499999999913776,-5.462840191603879,3.015975766975963,0.42339215210677095,0.1342045916600451,6.9999478161059585
8,302,-650.5333862399999,3.7499999999913776,-7.390362627345745,3.3399259766284537,0.4084105865965236,0.13113430790534292,6.999947816261651
9,311,-624.61338624,3.7499999999913776,-8.00577911830256,3.4632501990060334,0.4108169786125242,0.13227539058527915,6.999947816465484
