,initial_losses,losses,initial_reduced_losses,reduced_losses
0,8.08035099613145,8.08035099613145,7.345773632846773,7.345773632846773
1,15.373588096749838,15.373588096749838,13.975989178863488,13.975989178863488
2,569.7389549248502,569.7389549248502,517.9445044771365,517.9445044771365
3,104459.77629434165,104459.77629434165,94963.43299485603,94963.43299485603
4,18567.80173200898,18567.80173200898,16879.8197563718,16879.8197563718
5,75485.39726699395,75485.39726699395,68623.08842453995,68623.08842453995
6,858989.1039209836,858989.1039209836,780899.1853827123,780899.1853827123
7,1098723.4803669807,1098723.4803669807,998839.527606346,998839.527606346
8,19867.465764991364,19867.465764991364,18061.332513628513,18061.332513628513
9,16363.29656433762,16363.29656433762,14875.724149397834,14875.724149397834
10,386.3959304288834,386.3959304288834,351.2690276626212,351.2690276626212
11,642.3556924698992,642.3556924698992,583.959720427181,583.959720427181
12,16757.206166845433,16757.206166845433,15233.823788041302,15233.823788041302
13,24183.156345794618,24183.156345794618,21984.687587086013,21984.687587086013
14,25632.53089719699,25632.53089719699,23302.300815633625,23302.300815633625
15,74529.95014723217,74529.95014723217,67754.50013384742,67754.50013384742
16,24591.709362912887,24591.709362912887,22356.099420829894,22356.099420829894
17,110409.25964160045,110409.25964160045,100372.05421963676,100372.05421963676
18,53882.25520264114,53882.25520264114,48983.8683660374,48983.8683660374
19,69502.32939363644,69502.32939363644,63183.935812396754,63183.935812396754
20,76275.70112101854,76275.70112101854,69341.54647365322,69341.54647365322
21,83597.85230328902,83597.85230328902,75998.04754844456,75998.04754844456
22,43402.14818760778,43402.14818760778,39456.498352370705,39456.498352370705
23,12049.085291587611,12049.085291587611,10953.713901443281,10953.713901443281
