,lineout pixel,Radius (\mum),Te_electron,lam_general,amp3_general,ud_general,Ti_ion-1
0,209,-901.27584,0.01000000000000405,526.2027900687209,0.9720569272206069,39.99914542142169,0.027250939503313254
1,244,-800.47584,0.010000001124401107,526.4134078162228,0.4513501764681402,39.998708942965095,0.9999999999992508
2,279,-699.67584,0.6536880076026739,526.6,0.4523585008538782,-19.853570205610954,0.9998841658953285
3,314,-598.87584,0.17313373916709512,526.3740782016814,1.155582785468294,40.0,0.07639105646901402
4,348,-500.95583999999997,0.3837150563095369,526.4319989116925,0.2568209203526649,10.150136524434807,0.05727224257188616
5,383,-400.1558399999999,0.6525146287133775,526.2177934876273,2.256164442223454,38.084322661431884,0.15110243899097764
6,418,-299.35583999999994,0.5120958459680771,526.2005522173489,0.6987242070434424,24.22382481356145,0.9890632255633166
7,452,-201.4358400000001,0.030754792193894737,526.4013951632155,0.340920355777848,-8.203856541566033,0.8354256478546204
8,487,-100.63583999999992,0.44460797172437855,526.3417951750096,0.9661192100536686,39.93008049507625,0.13338765314779719
9,522,0.16416000000003805,0.22715152835709496,526.4004177102903,0.5798830782913189,39.989069309782664,0.08936803877178995
10,557,100.96415999999999,0.21553029733386353,526.2639911438878,0.3019518799679706,38.121625933201464,0.9903388398200191
11,591,198.88416000000007,1.0140826141298611,526.207930804829,0.5497018899605224,39.46763295667692,0.2520730343914879
12,626,299.68416,0.23041770982707285,526.50307096655,0.3363814431754485,30.034069639511642,0.07404111436028044
13,661,400.48416,0.39818664815188165,526.4110177837936,0.6794166039812441,10.546533233030509,0.09860927721964056
14,696,501.28415999999993,0.022903464898838582,526.450201529455,0.9415604589982138,39.64728581227433,0.0857130484580896
15,730,599.2041599999998,0.4365386986036371,526.2693604721401,0.8781599828265894,39.66708519943271,0.3247022980218761
