,lineout pixel,Radius (\mum),amp1_general,amp2_general
0,331,-950.5245338550003,0.01017026325800024,0.30847245900176773
1,341,-899.2245338550001,0.22034072471606853,0.34139858678718454
2,351,-847.9245338550002,0.17902369849104227,0.6472375949613214
3,360,-801.7545338550001,0.12280885538349329,0.5829702033240927
4,370,-750.4545338550001,0.32693978052214834,1.5229033215657175
5,380,-699.1545338550002,0.19840921161275069,0.4054783733340794
6,390,-647.8545338550002,0.19195818014479127,0.29037932196101324
7,399,-601.6845338550002,0.2395390050815337,0.22724471829544785
8,409,-550.384533855,0.23524286155488464,0.12449968858491281
9,419,-499.08453385500025,0.24830421148439136,0.09293615812187316
10,429,-447.78453385500006,0.23663318845043682,0.060089921212325634
11,438,-401.614533855,0.26040023233296106,0.07628086195002974
12,448,-350.31453385500026,0.3349345533597829,0.13962196603786142
13,458,-299.0145338550001,0.20172260244856027,0.11878392088980587
14,468,-247.71453385500035,0.27165605708514967,0.06719945937868343
15,477,-201.54453385500028,0.2669631365610608,0.01326619897136663
16,487,-150.2445338550001,0.23659770656771761,0.0431473817268962
17,497,-98.94453385500037,0.24286601594826057,0.04679362013570607
