,lineout pixel,Time (ps),Te_electron,Ti_ion-1,lam_general,amp3_general,ud_general
0,335,-530,1.2148510227037443,0.33541199863733273,527.0749393911728,3.6434018953376524,-19.378804113534418
1,345,-480,0.5219603993251789,0.2108015546873327,526.7230831433914,0.420055965201794,-0.05519564270401389
2,355,-430,0.4089927300589924,0.10723438489009857,526.4962177206124,1.0100151034432436,0.07792961062613202
3,365,-380,0.5088496135206602,0.11501948532049769,526.1420278513139,1.2138511500815914,19.506631875408004
4,375,-330,1.917299019429348,0.601754932330701,526.4117060142291,1.3514252018807855,39.20043132946722
5,385,-280,1.870440886031695,0.5990378126016023,526.3817510409849,1.362893660751231,28.484803942988158
6,395,-230,0.6118780916517313,0.17841723388682873,526.1435131782524,1.527053201726184,21.610334415642484
7,405,-180,0.5730191600673974,0.15654734503811155,526.2673338894812,1.173579610977114,19.09988709424222
8,415,-130,0.8009989204714486,0.2982558772785837,526.1971960109365,1.4164560753326987,8.199384453201237
9,425,-80,0.9015765310058463,0.32506328679425905,526.2269889570857,1.428111280835775,4.544134711046016
10,435,-30,0.5049746286265029,1.0,526.2610996107867,1.346300679985415,-19.99982878352891
11,445,20,0.5196136849061938,1.0,526.2877712426164,1.4588397045762072,-19.99999999996576
12,455,70,0.9478383613496253,0.33153830300998277,526.3184438631246,1.449038078414015,-0.7650056174606412
13,465,120,0.8491559981945559,0.3087494941999761,526.3630561960606,1.396127224466685,-11.545665384914699
14,475,170,0.5332920377636684,0.17131876325913495,526.4569565996766,1.3964510811541933,-12.54566316104647
15,485,220,0.4847227378275167,0.23872081618112648,526.4560232237809,1.407638761114789,-11.752572282012519
16,495,270,0.793701495606911,0.27361982443468014,526.393976076476,1.472807789663308,-17.125837603038544
17,505,320,0.975457334141305,0.4513425641897441,526.3100672388709,1.3196674306051364,-16.06704514082613
18,515,370,0.43444593515752705,0.17562638672246345,526.4426910132581,1.3724167436885657,-10.60211825021734
19,525,420,0.37485977950986576,0.15361872045352212,526.4452162270177,1.357441000654487,-8.959509633530939
20,535,470,0.3421393074865726,0.14202456637855002,526.4446104322749,1.3550171926820198,-7.728680173429904
21,545,520,0.2976468901204192,0.12353338993252269,526.4272098702147,1.338026241843986,-6.294600950634754
22,555,570,0.288207940820996,0.12167844280316611,526.4172719712375,1.3194059549276778,-5.309051285759692
23,565,620,0.3082273992784668,0.1297189714083238,526.3963308750713,1.3312052939959207,-4.0119510277571475
