,lineout pixel,Time (ps),Te_species1,Ti_species2,amp3_general,lam_general,ud_general,Va_general
0,190,955,0.22033351178456048,0.07036384369472867,0.9999623215236138,526.1522095619803,1.7388396302830955e-05,-2.0376055534565944
1,200,1005,0.22012709364447083,0.07013042079541106,0.999989421924224,526.1297513314921,5.176226081093915e-06,-2.011447842757248
2,210,1055,0.22035482550459712,0.07040293345361398,0.9999525941719937,526.1522195835431,1.6942040492740063e-05,-2.037580744308588
3,220,1105,0.22002262023523736,0.07002848077571547,0.9999902664038942,526.1227151460083,1.3057964465268412e-06,-2.00315524974812
4,230,1155,0.220008260067003,0.07000939269929872,0.9999950734981243,526.1215956015122,8.9817892012789e-07,-2.001883801625325
5,240,1205,0.21494585018125179,0.07883707434555294,0.9968105969818768,526.1522143821402,0.00037509548730607634,-2.139979084109995
6,250,1255,0.2084162569440066,0.08207230801256024,0.9884093310832464,526.1683563876713,0.0006534970648264249,-2.137216232024073
7,260,1305,0.21286080525738837,0.07597119378979271,0.9961829978023162,526.1551263591814,0.00039239667220414276,-2.111715626390603
8,270,1355,0.21798521540325452,0.06700062110388919,0.9960433550250524,526.1499809010115,-3.742894557956511e-05,-2.050622087116358
9,280,1405,0.21806148328879446,0.0768553092397807,0.9970690279858019,526.1195786173146,-9.810129984355598e-05,-2.0720846673554263
10,290,1455,0.2201650936980882,0.07019452188997605,0.999971115688468,526.1324002605439,5.689593174373897e-06,-2.0143485939547503
11,300,1505,0.2200800010012269,0.07009742309315423,0.9999797485011119,526.1293121327199,4.351453217754653e-06,-2.010931580264721
12,310,1555,0.22010869713377026,0.07011715378999105,0.9999816761989154,526.1312236360648,6.16843393697053e-06,-2.0130627288053846
13,320,1605,0.21999933161386642,0.06999670051590445,0.9999972048733904,526.1203687865925,1.1751161155260093e-07,-2.000422237174455
14,330,1655,0.22377000947466744,0.07439731420968962,0.9994271315244857,526.5949921691814,0.00024646889847934617,-2.558911042412355
15,340,1705,0.40782524953331434,0.2460392104517404,1.1256447071643638,528.0,0.0061081081961789074,-18.109795953009293
16,350,1755,0.39455716475372643,0.24105478780701403,1.1214207399873997,527.8427951513027,0.0035224613223894252,-16.964328227005332
17,360,1805,1.25,0.920584567706659,3.75,527.7891419722046,-0.10567769107523439,-20.43425388934795
18,370,1855,1.25,1.0,3.75,528.0,-0.22055870783789788,-20.5
19,380,1905,1.25,1.0,3.75,527.1285081410708,-0.00949825320571529,-20.391386382850094
