,lineout pixel,Radius (\mum),amp1_general,amp2_general,Te_electron,ne_electron
0,368,-900.9000903509998,0.9126030668266212,0.0619404859376536,0.26999415025629403,0.1428950251071989
1,372,-880.3800903509998,0.8690715507333119,0.1531993986244184,0.250461633814558,0.14212312623868975
2,376,-859.8600903509998,0.808213432468369,0.09308273875872673,0.2591005422156818,0.15126953742436688
3,380,-839.3400903509998,0.8638594233579602,0.1100910960372502,0.2564670103523643,0.15771820331464464
4,384,-818.8200903509999,0.8423361317688666,0.24761053201605884,0.32209512945571095,0.14697242736806898
5,388,-798.3000903509999,0.914885038110251,0.17184401749649125,0.28885302349998976,0.16160173026035413
6,392,-777.7800903509999,0.14845689970406564,0.7979861940386553,0.310685301013835,0.03002557060555984
7,395,-762.3900903509998,0.7892545931365779,0.3632504446432708,0.3413678160380651,0.1647606457548956
8,399,-741.8700903509998,0.8109715612923158,0.3476914908116809,0.31847500722678485,0.17498191164916535
9,403,-721.3500903509998,0.8977542212419635,0.5105791305210245,0.3250902272979578,0.1871134847600639
