,lineout pixel,Radius (\mum),amp1_general,amp2_general,Te_electron,ne_electron
0,368,-900.9000903509998,0.09644255848671429,1.0142502969372045,0.12994647286159872,0.032055559283679286
1,372,-880.3800903509998,0.17677072516961154,0.7134574264725426,0.14715450581581996,0.03915400257881373
2,376,-859.8600903509998,0.1168025688968836,0.8335063340464914,0.14572044283334842,0.0463489628571476
3,380,-839.3400903509998,0.12750686801754169,0.9515084576977131,0.13244920040295982,0.05560087929234952
4,384,-818.8200903509999,0.17219125687905384,0.929602573019146,0.18628980602061204,0.04859201557579731
5,388,-798.3000903509999,0.16485505627046237,0.7312264867117442,0.1691597568296743,0.05363249724915024
6,392,-777.7800903509999,0.1187384968383191,1.129894709378369,0.13983499316660264,0.06209499509149592
7,395,-762.3900903509998,0.11508198852762361,0.8124631424223818,0.17605648043660238,0.057307285249895284
8,399,-741.8700903509998,0.11392624738829148,0.9012314021395036,0.15499708374981422,0.06252692331988813
9,403,-721.3500903509998,0.12231363337053013,0.8251809932054944,0.1556848718095083,0.06496554003312957
