,lineout pixel,Radius (\mum),Te_electron,amp3_general,ud_general,Va_general,Ti_ion-1,Z_ion-1
0,233,-849.2532479999999,0.14847488282342164,1.0262856090909342,19.502004447140997,9.024602248128136,0.09908284223264589,3.130269189035354
1,242,-823.3332479999999,0.149340603965739,1.054800180417349,19.503034042304726,8.636677016183974,0.11937990831952543,3.292236373310187
2,250,-800.2932479999998,0.14865850891998708,0.9681533594879946,19.503643298171355,8.768049368128047,0.10176794063421075,3.275782794163684
3,259,-774.3732479999999,0.15000227493989193,1.0246755040589968,19.505576647120712,8.89297971462781,0.10744106880454238,3.5451101253024504
4,268,-748.4532479999998,0.14941333044449276,1.0225537604732802,19.515758911717185,8.502974349335627,0.1240261939552521,3.7260798892672833
5,276,-725.4132479999998,0.15632030327784038,1.039790651107562,19.479477433961648,8.828942253879212,0.13468015614293538,3.497085402469313
6,285,-699.4932479999999,0.12002731049772512,1.0605394322275414,19.926282935715143,8.732169335634723,0.14270358535870703,4.669394222612026
7,294,-673.5732479999998,0.3999999649519387,1.0881800708396556,1.830665996986795,8.88801343488182,0.1484579617501145,1.8292500401325678
8,302,-650.5332479999998,0.12000043822276547,1.0319401318349886,19.97545462704685,8.846427577181714,0.15667516041849433,5.5802900044225865
9,311,-624.6132479999999,0.12000000000000004,0.9799841556598868,19.999957876017312,9.209535105015139,0.14506981706260721,5.544010033026229
10,320,-598.6932479999998,0.12042951969878708,1.0350493527884022,19.81861298213085,9.143332056579194,0.18363445599409184,5.665789368961093
11,329,-572.7732479999999,0.12,1.0259203235425285,19.999990548238003,8.963506621321354,0.17650204814388698,6.047538518835973
12,337,-549.7332479999999,0.12035462601271343,0.9624606115693465,19.85931790413113,9.163695180167274,0.21812090298455628,5.839669489601367
13,346,-523.8132479999998,0.1200061678956106,0.6743238621881974,19.96298841268291,9.423504546584141,0.20941926864838706,5.320918129652922
14,355,-497.89324799999986,0.12000438355351618,0.5014158075492101,19.966232994078318,9.25466755342558,0.2378778900098022,5.140766759398076
15,363,-474.8532479999999,0.12000038316364763,0.4374127561637452,19.98119214374264,9.134986984405398,0.26088748502125775,5.543008049535111
16,372,-448.9332479999998,0.12000000022086059,1.0155557166221023,19.999620083384976,9.999999999997641,0.12650779910517407,5.219131231041473
17,381,-423.013248,0.12000021424921375,1.033937550564142,19.993980577014675,9.999999999978893,0.09904158492698638,4.891819945782807
18,389,-399.9732479999998,0.14214753140669287,0.6056707942064788,19.569349728747774,8.402997836872352,0.27634103615589845,4.643744681656549
19,398,-374.05324799999994,0.14230987400604572,0.2576046496573975,19.535013616789094,9.82366047827258,0.9926099163691668,4.297837802117057
20,407,-348.13324799999987,0.14548901641950315,0.45794468474432826,19.562180616162237,8.289820646348954,0.30035421615183877,4.562756948810065
21,415,-325.0932479999999,0.1511735252818303,0.5621506977103364,19.524158868849398,8.244047670785758,0.3083052652189396,4.324073460824259
22,424,-299.17324799999983,0.15327716319070345,0.7761360225982048,19.520933910970783,7.92156540584201,0.3213652990343216,4.377288572340562
23,433,-273.253248,0.16205276544700764,0.9180683781255015,19.513451408346057,7.726847385854889,0.2858366680978414,5.21405239498724
