,initial_losses,losses,initial_reduced_losses,reduced_losses
0,156.8349511714011,156.8349511714011,142.57722833763734,142.57722833763734
1,152.97191632762073,152.97191632762073,139.0653784796552,139.0653784796552
2,159.88819331374594,159.88819331374594,145.3529030124963,145.3529030124963
3,339.8532313334463,339.8532313334463,308.9574830304057,308.9574830304057
4,299.42093124700904,299.42093124700904,272.20084658819,272.20084658819
5,460.4293627675124,460.4293627675124,418.5721479704658,418.5721479704658
6,222.74137384104787,222.74137384104787,202.49215803731624,202.49215803731624
7,247.0899665786578,247.0899665786578,224.62724234423433,224.62724234423433
8,190.5116631423204,190.5116631423204,173.19242103847307,173.19242103847307
9,288.71639769610215,288.71639769610215,262.4694524510019,262.4694524510019
10,157.4657992881145,157.4657992881145,143.15072662555863,143.15072662555863
11,168.60375487982674,168.60375487982674,153.27614079984247,153.27614079984247
