,initial_losses,losses,initial_reduced_losses,reduced_losses
0,3.557264990175283,3.557264990175283,3.2338772637957116,3.2338772637957116
1,3.0046968493319084,3.0046968493319084,2.7315425903017347,2.7315425903017347
2,1.1033766312149709,1.1033766312149709,1.0030696647408825,1.0030696647408825
3,1.7651769088244789,1.7651769088244789,1.604706280749526,1.604706280749526
4,1.9323766180340116,1.9323766180340116,1.7567060163945558,1.7567060163945558
5,2.8739864566528612,2.8739864566528612,2.61271496059351,2.61271496059351
6,4.9155089531338705,4.9155089531338705,4.4686445028489725,4.4686445028489725
7,3.062081123392927,3.062081123392927,2.7837101121753878,2.7837101121753878
8,2.2132669421827726,2.2132669421827726,2.0120608565297933,2.0120608565297933
9,1.361881305642489,1.361881305642489,1.2380739142204444,1.2380739142204444
