,lineout pixel,Radius (\mum),amp1_general,amp2_general,Te_electron,ne_electron
0,388,-798.3000903509999,0.9034609535894123,0.23110545432225718,0.3417562853338862,0.14467527036479
1,390,-788.0400903509999,0.7688515449861821,0.33029256850780037,0.3646482367672865,0.13610186174057481
2,392,-777.7800903509999,0.22790874641210548,0.48228280844076404,0.9589734728969865,0.030001624022242112
3,394,-767.5200903509999,0.6322640651750959,0.5412952184873896,0.4485825163513862,0.1354243249624015
4,395,-762.3900903509998,0.7653817428430629,0.43921994016401933,0.398639128085601,0.14726786745416864
5,397,-752.1300903509998,0.8836589715357434,0.2920046518853671,0.34409084763372766,0.16377789230437328
6,399,-741.8700903509998,0.7684937286964143,0.4293537622246999,0.3834974560248794,0.15526283216366227
7,401,-731.610090351,0.7666746209938707,0.6193910313788769,0.4222047964392598,0.15672578242527116
8,403,-721.3500903509998,0.8816743447720179,0.6604728546145018,0.38674962278457803,0.16963171030650348
9,405,-711.0900903510001,0.8956114439627446,1.2882119399819167,0.3598740617817992,0.18260876379102386
