,lineout pixel,Radius (\mum),Va_general,amp1_general,amp2_general,amp3_general,ne_gradient_general,ud_general,Te_species1,ne_species1,Ti_species2
0,344,-599.8299999999999,-5.431457104009091,0.8022143195019978,0.6,0.9136434011944486,9.27467869365971,27.39584527434825,0.29002959791287913,0.11413953777228492,0.03607511517315526
1,348,-588.35,-5.636609286267782,0.7924448828281542,0.5916317204571111,0.9548183931441925,10.485301486837468,19.503221115493275,0.28818357755011603,0.11999481616669386,0.036317997462844254
2,351,-579.74,-5.652203375989959,0.8022209678434539,0.5378347922795239,0.9641137033010563,10.172278904567388,19.28340556072574,0.28905195138236733,0.12728470105841372,0.03618880633591609
3,355,-568.26,-5.5990712642688205,0.8542664535318267,0.538373454943764,0.9766182871054758,10.15930584914766,19.147023448111263,0.2952609774964167,0.13041394939615522,0.036937993547188415
4,358,-559.6500000000001,-5.444266313257962,0.8972767641127647,0.5392248663334771,0.9783082460451207,10.753979105999615,24.419694650595755,0.29347142889542593,0.13533189116055339,0.040799385895392976
5,362,-548.1700000000001,-5.258113939321653,0.9080503673360641,0.5051895971499621,0.9405648386047138,9.29707784258282,27.72056104521657,0.30134882267621504,0.13604554382559642,0.041422008170810834
6,365,-539.56,-5.342687478834625,0.888568340559535,0.465386975845028,0.958109557564008,10.436536511111854,19.838392354171667,0.30653586439535574,0.14152850471243603,0.03911048464645098
7,369,-528.0799999999999,-5.168155914720699,0.8521171300344201,0.44842231600960775,0.9622922923189277,10.073165560863675,20.18650652290755,0.31193834131344506,0.146880099404065,0.03968336285917704
8,372,-519.47,-4.963754658371377,0.8416918116962068,0.4637078821376988,0.9333216881531868,9.866925134790073,20.641569163459458,0.3156703360697462,0.1543318546268759,0.04186060851162016
9,376,-507.99,-4.829032070180071,0.858710728084132,0.4592912223130158,0.9264588255262451,10.628434855804088,24.12768937837545,0.3167397393812514,0.1594802499090076,0.04343960097559295
10,379,-499.3799999999999,-4.818715624462526,0.8929115045194428,0.4540971013288928,0.9543896809084711,9.554076516944892,26.44212387147121,0.31429436366085123,0.16514353035928978,0.04479306172365105
11,383,-487.9000000000001,-4.891453279064657,0.9037022424755418,0.4904471474120602,0.9954328564056496,11.104534942172247,20.02389907998911,0.31150043146708056,0.17207891404730535,0.04373670087232545
12,386,-479.28999999999996,-4.882344112175628,0.8724217121807958,0.4978566908699444,0.9599690935946548,10.39893306691125,20.43552454403133,0.3101800122408708,0.17814315178808401,0.043852935064307666
13,390,-467.80999999999995,-4.8596418674830275,0.8749246917544193,0.49888732571120925,0.9526005722225481,10.122565451547757,20.779229597262017,0.31780950950976483,0.1827473282984816,0.043957960732605064
14,393,-459.20000000000005,-4.828127017877044,0.8830879099377333,0.5004865771011247,0.9759182993416828,10.78172491033495,20.564774234087142,0.3212289136968972,0.18745298371964328,0.04457953949175847
15,397,-447.72,-4.6615505680405285,0.8976215308591179,0.4838946829421499,0.9732025186246858,9.682292903991797,26.168216309501865,0.3262258057345406,0.19177481519478354,0.04893338170547227
16,400,-439.1099999999999,-4.9330475518820425,0.8672041530319812,0.4707158723296201,0.9540917299321445,10.694814073742837,21.195287918102984,0.3333054225838123,0.19575020675484392,0.046629247790628846
