,lineout pixel,Time (ps),Te_species1,Ti_species2,amp3_general,lam_general,ud_general,Va_general
0,360,1805,0.3579593137776683,0.01,1.0416943226277346,526.6185746912955,5.061391594360678,-0.7194446714338265
1,365,1830,0.37072815942634896,0.3040138933410577,1.1009784911335154,526.6207136178533,5.017886041349245,0.4273953486912552
2,370,1855,0.39213138211528964,0.010015979102172855,1.0416121843697113,526.6125008906527,5.061454720624687,-0.7113234325409157
3,375,1880,0.35742204557445656,0.33433383055940846,1.1010825265292956,526.6342905039072,5.037258777059699,-0.018956667995247978
4,380,1905,0.40942794352140066,0.010037791813878273,1.0391187860588966,526.5932681913941,5.066338650243747,-0.8479309669594859
5,385,1930,0.3945155211912272,0.3097160888339654,1.1011822058711265,526.6243993234867,5.036965143229732,-0.05756688820496514
6,390,1955,0.4317685375095864,0.01004570183616471,1.0386862183525651,526.5896576251127,5.066827559477116,-0.835040536831666
7,395,1980,0.39406213476267327,0.31056472820122805,1.1012215090743147,526.6239643504632,5.035993239876229,-0.07819612901362571
8,400,2005,0.4317595337587786,0.010045724312090148,1.0386853769988293,526.5896202169629,5.066828687364051,-0.8347871501630733
9,405,2030,0.3940866289882739,0.31052527712929695,1.1012215739563596,526.6239654967077,5.035965723103062,-0.07806545086568195
10,410,2055,0.4317625547106515,0.01004573010089877,1.0386840864031432,526.5895553967341,5.066829708686953,-0.8343437614306171
11,415,2080,0.3941310845352598,0.3104520804706571,1.1012214696929759,526.6239663726061,5.035964389754827,-0.0780337610113957
12,420,2105,0.5059660536696905,0.010085145489152502,1.0233340763171175,526.5936007929308,5.090548489042311,0.07319532265938955
13,425,2130,0.4028012616534559,0.3147427272876522,1.0958468881947443,526.631197015837,5.015814416764474,0.21558633540943006
14,430,2155,0.5059777785969691,0.010085152050498494,1.0233324760154352,526.5935730386539,5.090551048461354,0.07334466316460952
15,435,2180,0.4028485041711477,0.31466283451824867,1.0958466461621796,526.6311973948806,5.015819553899988,0.2156086033198612
16,440,2205,0.5059794497432187,0.010085152830821991,1.0233322226593677,526.5935724824483,5.090551361366103,0.07334274323991696
17,445,2230,0.40287063828901426,0.3146279165098263,1.0958464855763665,526.6311990667051,5.0158222964066335,0.2157015301191656
18,450,2255,0.5063080607834487,0.010085321068887864,1.0233032496314916,526.5935485141048,5.090589949366244,0.07285079233241731
19,455,2280,0.40285230717145815,0.3146583588788514,1.0958313963194135,526.6312003302537,5.016078388453766,0.21576559278375873
20,460,2305,0.5063116776826231,0.0100853228811143,1.0233019389471285,526.5935274209929,5.090591367614472,0.0729690685857487
21,465,2330,0.4028453099790614,0.3146702437351493,1.0958305579956862,526.631199184241,5.0160895957535745,0.2157047213543084
22,470,2355,0.5063147456645077,0.010085332821781198,1.0232996378591677,526.5935272806738,5.090594480158561,0.07291755737690808
23,475,2380,0.4027841457298144,0.31476975498237353,1.0958286887894404,526.6311878846427,5.016108261263794,0.21510182991724136
24,480,2405,0.5063149187541177,0.010085333415790645,1.0232994165374096,526.5935264133818,5.090594765726113,0.07291870937532474
25,485,2430,0.4028017043071728,0.3147431713035475,1.0958286170717821,526.6311878642147,5.016108060286097,0.2151028818556977
26,490,2455,0.6419765048810181,0.01035335227728309,0.9369863955555578,526.5507427710124,5.191768633481136,-1.3145784353907342
27,495,2480,0.4449159095699894,0.34172818876646877,1.0831912667567984,526.6031694169401,5.017680219841402,0.2673227585403981
28,500,2505,0.643637241839559,0.013478179161777746,0.8,526.5788830310283,6.140417007855435,-0.08988640249485869
29,505,2530,0.40471609595731284,0.3281331242643813,0.8,526.5068442869624,5.030439160405851,-2.6038777074602706
30,510,2555,0.6436367741220802,0.013478195813681008,0.8,526.5788895806069,6.14042067823352,-0.08993473749145275
31,515,2580,0.4047150549700971,0.3281306222533835,0.8,526.5068369581925,5.030439005314864,-2.603827569404449
32,520,2605,0.6435926131527551,0.013478908272011678,0.8,526.5788900923515,6.140517742960538,-0.09008179984460796
33,525,2630,0.4042302905700082,0.3288274902422959,0.8000086547770514,526.5068648556895,5.030479932898524,-2.5981203640131656
34,530,2655,0.6437025228362429,0.013478840786103887,0.8,526.5787967039812,6.140532613323407,-0.08936352997129471
35,535,2680,0.40385575693466574,0.3293320251729698,0.8000155048489611,526.5069269856486,5.030512791670798,-2.595982682207749
36,540,2705,0.6439607964824532,0.01,0.8,526.5793041006305,7.0423097000562285,-0.06347886237222933
37,545,2730,0.4064601868538063,0.32653933885848135,1.016195665331565,526.50200430581,5.032972168156615,-2.876316154460943
38,550,2755,0.6440424296353888,0.010003922051271338,0.8,526.5792736438331,7.0427655799324285,-0.06370617767867959
39,555,2780,0.40536237494577493,0.32604420563270115,1.016186674090176,526.5018065201081,5.032979290081907,-2.8749926666673495
40,560,2805,0.6439809456702448,0.010004474170046938,0.8,526.5792944853773,7.042831151396145,-0.0639852758919468
41,565,2830,0.40683745888223016,0.326713502360115,1.0161914355475858,526.5019677797205,5.032971214696662,-2.8733454282838498
42,570,2855,0.6444742601891069,0.010006290394097886,0.8,526.5793535728591,7.0429130633512855,-0.0649944198116148
43,575,2880,0.40671568788794493,0.3266279839164066,1.0161465740538749,526.5020104367443,5.03298238540081,-2.8675324139374103
