,lineout pixel,Time (ps),Te_species1,ne_species1,amp1_general,amp2_general,lam_general
0,299,1500,0.37329041519643025,0.1673927387050281,0.43309222304903033,0.8502966229599341,528.0
1,359,1800,0.37408598060505743,0.17231915976555695,0.6459418746060658,0.4558349774319603,528.0
2,419,2100,0.4078509641207872,0.1495801523198946,0.5228041911804612,0.720181273795112,528.0
3,479,2400,0.21802975587554255,0.15990909461461145,0.5871802053780082,0.21672560441272587,528.0
4,539,2700,0.22117632380787425,0.15787481065072725,0.46255467121384425,0.47352890271454223,528.0
5,599,3000,0.24571230728139729,0.12933727030260653,0.46491139634456297,0.3332719727367712,528.0
